Which group of Germans was targeted for death because they were considered mentally or physically disabled?,"70,000 Germans."
What was the name of the German Parliament established under the Weimar Republic?,Reichstag.
What war veterans' organization did the Weimar Republic use to crush the Spartacist uprising?,Free Corps.
Who were the primary leaders of the Allied Powers at the beginning of World War II?,The United Kingdom and France.
Which two major powers joined the Allies in 1941?,The USSR and the USA.
Which three countries constituted the Axis Powers during World War II?,"Germany, Italy, and Japan."
What was the purpose of the International Military Tribunal at Nuremberg?,"To prosecute Nazi war criminals for crimes against peace, war crimes, and crimes against humanity."
"According to the text, approximately how many Jews were killed during the Nazi genocidal war?",6 million Jews.
How many Polish civilians were murdered by the Nazis during World War II?,1 million civilians.
Term: Genocidal,Definition: Large-scale killing leading to the destruction of large sections of people.
What was the primary method of mass murder used by the Nazis at killing centres like Auschwitz?,Gassing.
Why were the Allies less harsh on Germany after World War II compared to World War I?,They believed the harshness after the First World War contributed to the rise of Nazi Germany.
What event in November 1918 marked the end of Imperial Germany?,The defeat of Germany and the abdication of the emperor.
Where did the National Assembly meet to establish a democratic constitution for Germany after World War I?,Weimar.
How were deputies elected to the Reichstag in the Weimar Republic?,"On the basis of equal and universal votes cast by all adults, including women."
Which peace treaty was forced upon Germany at the end of World War I?,The Treaty of Versailles.
Approximately what percentage of its European territory did Germany lose under the Treaty of Versailles?,13 per cent.
What amount of gold was Germany forced to pay in compensation under the Treaty of Versailles?,$\pounds 6$ billion.
Which resource-rich area was occupied by Allied armies for much of the 1920s?,The Rhineland.
What was the 'War Guilt Clause' in the Treaty of Versailles?,A provision holding Germany responsible for the war and the damages suffered by Allied countries.
Who were the 'November criminals'?,"Supportive politicians of the Weimar Republic, mainly Socialists, Catholics, and Democrats."
Which radical group attempted a revolutionary uprising in Germany patterned after the Bolshevik Revolution?,The Spartacist League.
Why did France occupy the Ruhr industrial area in 1923?,Germany refused to pay its war reparations.
What economic phenomenon occurred in 1923 when Germany printed paper currency recklessly?,Hyperinflation.
What was the purpose of the Dawes Plan introduced by the Americans?,To rework the terms of reparation and ease the financial burden on Germany.
What event in 1929 triggered the start of the Great Economic Depression?,The crash of the Wall Street Exchange.
To what level did German industrial production fall by 1932 compared to 1929?,40 per cent.
How many people were unemployed in Germany at the height of the economic crisis in 1932?,6 million.
Term: Proletarianisation,Definition: The fear or process of being reduced to the ranks of the working class or the unemployed.
What defect in the Weimar constitution made achieving a majority by any one party nearly impossible?,Proportional representation.
What was the function of Article 48 in the Weimar constitution?,"It gave the President powers to impose emergency, suspend civil rights, and rule by decree."
In which country was Adolf Hitler born in 1889?,Austria.
What was the original name of the party Hitler joined in 1919?,The German Workers’ Party.
What percentage of votes did the Nazi Party receive in the 1928 Reichstag elections?,2.6 per cent.
"By 1932, what percentage of the vote did the Nazi Party win to become the largest party in the Reichstag?",37 per cent.
What ritualized elements were used by the Nazis to demonstrate power during mass rallies?,"Red banners with the Swastika, the Nazi salute, and ritualized rounds of applause."
On what date was Hitler offered the Chancellorship of Germany?,30 January 1933.
What event in February 1933 allowed Hitler to suspend civic rights via the Fire Decree?,The burning of the German Parliament (Reichstag) building.
What was the significance of the Enabling Act passed on 3 March 1933?,It established a dictatorship by giving Hitler powers to sideline Parliament and rule by decree.
What was the Gestapo?,The secret state police of the Nazi regime.
Which economist was tasked by Hitler with Germany's economic recovery?,Hjalmar Schacht.
Which two major infrastructure and consumer projects were produced under Schacht's state-funded work-creation programme?,German superhighways (Autobahns) and the Volkswagen car.
In what year did Germany reoccupy the Rhineland under Hitler?,1936.
What was the Nazi slogan used during the integration of Austria and Germany in 1938?,"One people, One empire, and One leader."
The invasion of which country in September 1939 started World War II?,Poland.
What was the 1940 Tripartite Pact?,"An agreement signed between Germany, Italy, and Japan strengthening Hitler's claim to international power."
When did Germany launch its attack on the Soviet Union during World War II?,June 1941.
"At which battle did the Soviet Red Army inflict a crushing defeat on Germany, turning the tide of the war?",Stalingrad.
What event prompted the United States to enter World War II?,The Japanese bombing of the US naval base at Pearl Harbor.
"According to Nazi ideology, which group was at the top of the racial hierarchy?",Nordic German Aryans.
Concept: Lebensraum,Definition: The geopolitical concept of 'living space' through the acquisition of new territories for German settlement.
What was the Euthanasia Programme in Nazi Germany?,A programme to kill Germans considered mentally or physically unfit.
"What term did Nazis use for moneylenders charging excessive interest, often as an abuse against Jews?",Usurers.
"Where were Jews forced to live in separately marked, impoverished areas before being sent to death camps?",Ghettos.
Which identity mark were Jews forced to wear on their clothing from September 1941?,A yellow Star of David.
What were the 'Nuremberg Laws of citizenship' of 1935?,Laws that restricted German citizenship to those of German blood and forbade marriages between Jews and Germans.
What did the term 'Evacuation' mean in Nazi official communication?,Deporting people to gas chambers.
What was the Nazi term for the mass killing of Jews?,The Final Solution.
At what age were German boys required to join the 'Jungvolk'?,Ten years old.
What was the 'Hitler Youth'?,A Nazi youth organization for boys aged 14 and older designed to teach war worship and Nazi ideology.
"What sport did Hitler believe could make children iron-hearted, strong, and masculine?",Boxing.
How were women who produced racially 'desirable' children rewarded in Nazi Germany?,"They were given Honour Crosses (bronze, silver, or gold) and concessions in shops and transport."
What was the purpose of the Nazi propaganda film 'The Eternal Jew'?,To create hatred by stereotyping and marking Orthodox Jews as evil or subhuman.
How did Nazi propaganda describe Jews in terms of their movements?,"They were compared to rodents, vermin, rats, and pests."
What happened to teachers who were Jews or seen as 'politically unreliable' under Nazism?,They were dismissed from schools.
What was the 'General Government' in occupied Poland?,The area designated as the destination for all 'undesirables' and the site of many killing centres.
What was the average number of children required for a mother to receive a Gold Honour Cross?,Eight or more children.
