What defines a 'nomad'?,People who do not live in one place but move from one area to another to earn a living.
The Gujjar Bakarwals of Jammu and Kashmir primarily herd which two types of animals?,Goats and sheep.
Where do the Gujjar Bakarwals live with their herds during the winter months?,In the low hills of the Siwalik range.
What is the primary reason for the Gujjar Bakarwals' northern march at the end of April?,To reach their summer grazing grounds as the snow melts in the mountains.
What is a 'kafila'?,A group of pastoral households traveling together during seasonal migrations.
Gaddi shepherds move to which high-altitude region in Himachal Pradesh during the summer?,Lahul and Spiti.
Term: Bugyals,"Definition: Vast natural pastures located on high mountains above $12,000$ feet."
What provides nutritious forage for animal herds in the mountains after the snow melts in April?,"A variety of grasses, roots, and herbs that sprout on the mountainsides."
Term: Bhabar,Definition: A dry forested area located below the foothills of Garhwal and Kumaon.
Why is the continuous movement of pastoralists beneficial to pastures?,It allows the pastures to recover and prevents their overuse.
Gujjar cattle herders in central Garhwal live in temporary huts called _____.,mandaps
What material is commonly used to make a Gujjar mandap?,Ringal (a hill bamboo) and grass.
The Dhangars are an important pastoral community primarily found in which Indian state?,Maharashtra.
"Most Dhangars are shepherds, but some also work as blanket weavers or _____.",buffalo herders
Where do Dhangar shepherds stay with their flocks during the monsoon season?,In the semi-arid central plateau of Maharashtra.
Which dry crop is typically sown by Dhangars in the central plateau before they move west in October?,Bajra.
Why were Dhangar shepherds welcomed by Konkani peasants post-harvest?,Their flocks manured the fields and fed on the stubble left in the ground.
What specific item did Konkani peasants provide to Dhangars in exchange for manuring their fields?,Supplies of rice.
Why must Dhangars leave the Konkan coastal areas with the onset of the monsoon?,Their sheep cannot tolerate the wet monsoon conditions.
The Gollas of Karnataka and Andhra Pradesh are known for herding which animals?,Cattle.
Which two pastoral communities in Karnataka and Andhra Pradesh rear sheep and goats and sell woven blankets?,The Kurumas and Kurubas.
What defines the seasonal rhythm of movement for pastoralists in the plateaus and plains?,The alternation of the monsoon and the dry season.
"Which group of graziers is found in Uttar Pradesh, Punjab, and Rajasthan, and sells plough cattle to villagers?",The Banjaras.
Why do the Raikas of Rajasthan combine pastoralism with cultivation?,Because rainfall is meagre and agricultural harvests are uncertain and fluctuate every year.
The Maru Raikas specialize in herding which animal?,Camels.
What is a 'dhandi'?,The settlement of the Maru Raika camel herders.
What role do genealogists play in the Raika community?,They recount the history of the community to provide a sense of identity through oral tradition.
How did the colonial state view uncultivated land that was used for grazing?,As 'waste land' that produced neither revenue nor agricultural produce.
What was the primary goal of the Waste Land Rules enacted in the mid-nineteenth century?,To transform grazing lands into cultivated farms to increase land revenue.
"In the mid-nineteenth century, forests producing timber like _____ or sal were declared 'Reserved'.",deodar
How did 'Protected' forests differ from 'Reserved' forests for pastoralists?,"In Protected forests, some customary grazing rights were granted, though movement was severely restricted."
Why did colonial officials believe grazing was harmful to forests?,They believed herds destroyed saplings and munched away the young shoots that germinated on the forest floor.
What document did a pastoralist need to legally enter a forest under colonial regulation?,A permit issued by the Forest Department.
The _____ Act of 1871 classified many communities of pastoralists as 'criminal by nature and birth'.,Criminal Tribes
How did the Criminal Tribes Act affect the movements of pastoralists?,They were forced to live in notified village settlements and could not move without a permit.
"Between the 1850s and 1880s, how did the colonial government manage the collection of grazing tax?",The right to collect the tax was auctioned out to private contractors.
What information was recorded on the passes given to pastoralists for grazing after the 1880s?,The number of cattle heads owned and the amount of tax paid.
How did the shortage of pasturelands under colonial rule impact the health of animal stock?,"Continuous grazing in limited areas caused pasture quality to decline, leading to underfed cattle and high mortality."
Why did the Raikas have to find new grazing grounds in Haryana after 1947?,The new political boundary between India and Pakistan stopped their movement into Sindh.
What was the typical strategy of poor pastoralists who lost their cattle due to colonial pressures?,They borrowed money from moneylenders and eventually became labourers in fields or towns.
What percentage of the world's pastoral population lives in Africa?,Over half.
Which African pastoral community lives primarily in southern Kenya and northern Tanzania?,The Maasai.
What happened to Maasailand in 1885 due to European imperial scramble?,It was cut in half by an international boundary between British Kenya and German Tanganyika.
How much of their pre-colonial lands did the Maasai lose under colonial rule?,$60\%$.
"The _____ National Park in Tanzania was created over $14,760$ km of former Maasai grazing land.",Serengeti
"Traditionally, what was the Maasai view on tilling the land for crop farming?",They believed it was a crime against nature that made land unsuitable for grazing.
Why were the Kaokoland herders of Namibia prevented from moving to Ovamboland in 1949?,The new system of territorial borders was closed to them.
"In colonial Africa, why were pastoralists often prohibited from entering white markets?",White settlers viewed them as dangerous and savage and wanted to minimize contact.
Why is nomadism traditionally a critical survival strategy for pastoralists during droughts?,It allows them to move to areas where forage is available when their local pastures dry up.
Term: Kharif,"Definition: The autumn crop, usually harvested between September and October."
Term: Rabi,"Definition: The spring crop, usually harvested after March."
Term: Stubble,Definition: The lower ends of grain stalks left in the ground after harvesting.
Where do Maldhari herders traditionally have their villages?,In the Rann of Kutch.
"The name 'Maasai' is derived from the word 'Maa', which means _____.",My People
"Which Himalayan communities, besides Gaddis and Gujjars, adjust to seasonal changes by moving their herds?","The Bhotiyas, Sherpas, and Kinnauris."
What was the magistrate's objective in restricting the movement of Kaokoland herders into the territory?,To keep a check on the natives and restrict their numbers entering the territory.
What did colonial officials prioritize over grazing in the forests?,The production of timber and fuel.
Which pastoral community is noted for displaying expertise in training camels at the Balotra fair?,The Maru Raikas.
What mountain pass do Gujjar Bakarwals cross to enter the valley of Kashmir?,The Pir Panjal passes.
Why did Dhangar sheep return to the central plateau with the onset of the monsoon?,The central plateau became a vast grazing ground while the coastal tracts became too wet.
How did the quality of livestock change according to the Royal Commission on Agriculture in 1928?,The quality of livestock deteriorated as pastures were acquired for government purposes.
