What multidimensional challenge is described as one of the biggest hurdles faced by independent India?,Poverty
"According to NITI Aayog, the ratio of multidimensional poverty fell from approximately 55 per cent in 2005–06 to what percentage in 2019–21?",15 per cent
"In urban settings, what is a common example of where the poor reside?",Overcrowded jhuggis
What is the typical occupation of a landless labourer in a village setting?,Working as an agricultural labourer for big farmers.
"In the case of Ram Saran, why is his monthly income of Rs. 3,500 insufficient for his family of six?",He must also send money to his old parents and support a brother.
"In the urban poverty case study, what item is specifically described as a luxury for the children?",Shoes
"In the rural case study of Lakha Singh, what is often given to workers instead of cash wages?","Payments in kind, such as kilograms of wheat, dal, or vegetables."
What basic household hygiene items are considered luxuries for Lakha Singh’s family?,Soap and oil
How does poverty impact the health of Lakha Singh’s family?,Family members suffer and die from diseases like tuberculosis due to lack of medication.
"Beyond lack of income, what 'sense' characterizes the psychological state of those living in poverty?",A sense of helplessness
"According to Mahatma Gandhi, when would India be truly independent?",When the poorest of its people become free of human suffering.
What are the three broad indicator categories used to calculate the National Multidimensional Poverty Index?,"Health, Education, and Standard of Living."
Identify the three specific health indicators included in the National Multidimensional Poverty Index.,"Nutrition, child and adolescent mortality, and maternal health."
What are the two education indicators used in the National Multidimensional Poverty Index?,Years of schooling and school attendance.
"Which indicator category includes factors like cooking fuel, sanitation, electricity, and bank accounts?",Standard of Living
Concept: Social Exclusion,A process where the poor are forced to live in poor surroundings and are excluded from facilities and opportunities enjoyed by the 'better-offs'.
What traditional Indian social structure is a typical example of social exclusion?,The caste system
Concept: Vulnerability (in poverty context),A measure describing the greater probability of specific communities or individuals becoming or remaining poor.
How is vulnerability analyzed regarding environmental risks?,By assessing the social and economic ability of a group to handle risks like natural disasters.
What common method is used to measure poverty based on monetary or consumption thresholds?,The poverty line
Why is owning a car considered a sign of poverty in the US but a luxury in India?,Poverty lines vary by a country's existing level of development and accepted social norms.
What was the primary factor used to determine the food requirement for the Indian poverty line until recently?,Desired calorie requirement
What is the accepted average calorie requirement per person per day in rural India?,$2400$ calories
What is the accepted average calorie requirement per person per day in urban India?,$2100$ calories
Why is the daily calorie requirement higher for rural areas compared to urban areas in India?,Rural residents engage in more physical work.
The number and proportion of poor people is technically referred to as the _____.,Head Count Ratio (HCR)
"According to official records, how many people escaped multidimensional poverty between 2015 and 2021?",$13.5$ crore
NMPI Nutrition: A household is deprived if a child between $0$ to _____ months is undernourished.,$59$ months
NMPI Schooling: A household is deprived if no member aged _____ years or older has completed six years of schooling.,$10$ years
"NMPI Cooking Fuel: A household is deprived if it relies on wood, charcoal, coal, agricultural crops, shrubs, or _____.",Dung
NMPI Drinking Water: A household is deprived if safe water is at least a _____-minute walk from home as a round trip.,$30$-minute
"NMPI Assets: Name one high-value asset that, if owned, excludes a household from being deprived in the assets category.",A car or truck.
"According to Table 3.1, what was the combined Head Count Ratio percentage for consumption-based poverty in 1993–94?",$45$ per cent
Which Indian state has the highest Head Count Ratio according to Graph 3.1?,Bihar
Which Indian state has the lowest Head Count Ratio according to Graph 3.1?,Kerala
How did Kerala primarily achieve its success in poverty reduction?,By focusing on human resource development.
What specific policy helped reduce poverty in West Bengal?,Land reform measures
How did Andhra Pradesh and Tamil Nadu primarily achieve poverty reduction?,Through the public distribution of food grains.
"Which social group is the most vulnerable to poverty in India, with $43$ out of $100$ people unable to meet basic needs?",Scheduled Tribes
What are the two most vulnerable economic groups to poverty in India?,Rural agricultural-labour households and urban casual-labour households.
"In poor families, which specific members are often denied equal access to family resources?","Women, elderly people, and female infants."
What uniform monetary standard does the World Bank use for the international poverty line?,$2.15$ per person per day
Why has poverty declined substantially in China and Southeast Asian countries?,Rapid economic growth and massive investments in human resource development.
Which region is forecasted to contain nearly $9$ in $10$ of the world's extreme poor by 2030?,Sub-Saharan Africa
