"In a democracy, the intelligent sharing of power among the legislature, executive, and _____ is considered vital to its design.",judiciary
Which European country is described as being smaller in area than the Indian state of Haryana?,Belgium
What percentage of the Belgian population lives in the Flemish region and speaks Dutch?,59 per cent
In which region of Belgium do the 40 per cent of people who speak French live?,Wallonia region
"What is the primary language spoken by 80 per cent of the population in Brussels, the capital of Belgium?",French
"Which linguistic community in Belgium was relatively rich and powerful, causing resentment in the majority Dutch-speaking community?",French-speaking community
During which decades did tensions between the Dutch-speaking and French-speaking communities in Belgium become most acute?,1950s and 1960s
What was the 'special problem' regarding the Dutch-speaking population in Brussels compared to the rest of Belgium?,They were a majority in the country but a minority in the capital.
Which island nation is located just a few kilometers off the southern coast of Tamil Nadu?,Sri Lanka
What are the two major social groups in Sri Lanka based on language?,Sinhala-speakers and Tamil-speakers
What percentage of the Sri Lankan population are Sinhala-speakers?,74 per cent
The Tamil natives of Sri Lanka are specifically referred to as _____.,Sri Lankan Tamils
Who are the 'Indian Tamils' in the context of Sri Lanka's population?,Descendants of plantation workers who came from India during the colonial period.
In which geographical regions of Sri Lanka are the Sri Lankan Tamils concentrated?,North and east
What is the predominant religion among the Sinhala-speaking people in Sri Lanka?,Buddhism
"What percentage of the Sri Lankan population is Christian, encompassing both Tamil and Sinhala speakers?",7 per cent
The term for a social division based on shared culture and common descent is _____.,ethnic
In what year did Sri Lanka emerge as an independent country?,1948
Which group sought to secure dominance over the Sri Lankan government after independence due to their numeric majority?,Sinhala community
Definition: Majoritarianism,"A belief that the majority community should rule a country however it wants, disregarding the minority."
What was the primary purpose of the 1956 Act passed in Sri Lanka?,To recognize Sinhala as the only official language.
Which religion did the Sri Lankan constitution stipulate the state shall 'protect and foster'?,Buddhism
What feeling was gradually increased among Sri Lankan Tamils due to the government's majoritarian measures?,Alienation
What specific demand was repeatedly denied to the provinces populated by Tamils in Sri Lanka?,Regional autonomy
"In the 1980s, several political organizations in Sri Lanka formed to demand an independent state called _____.",Tamil Eelam
Definition: Civil war,A violent conflict between opposing groups within a country that becomes intense enough to appear like a war.
When did the civil war in Sri Lanka officially end?,2009
"Between 1970 and 1993, how many times did the Belgian leaders amend their constitution to accommodate diversities?",Four times
"According to the Belgian constitution, the number of Dutch and French-speaking ministers in the central government must be _____.",equal
What is required in Belgium for the passage of certain 'special laws' besides a simple majority?,Support from the majority of members from each linguistic group.
How is the relationship between the Belgian State Governments and the Central Government defined?,State Governments are not subordinate to the Central Government.
What is the unique representation arrangement in the separate government for Brussels?,Both the Dutch and French communities have equal representation.
"In Belgium, which specific government is elected by people belonging to one language community, regardless of where they live?",Community government
What powers are typically held by the 'community government' in Belgium?,"Powers regarding cultural, educational, and language-related issues."
Which city was chosen as the headquarters for the European Union when it was formed?,Brussels
Power sharing is considered a good way to ensure the stability of the political order by reducing the possibility of _____.,conflict between social groups
"The set of reasons for power sharing based on careful calculation of gains, losses, and stability is called _____.",prudential reasons
Why is power sharing considered the 'very spirit of democracy'?,It involves sharing power with those affected by its exercise and who live with its effects.
The set of reasons that emphasize the intrinsic value of power sharing in a democracy is called _____.,moral reasons
"In Lebanon, the country's President must traditionally belong to which religious sect?",Maronite sect of Catholic Christians
"According to the Lebanese power-sharing pact, from which community must the Prime Minister be chosen?",Sunni Muslim
"In the Lebanese political system, the position of the Speaker is fixed for which community?",Shi’a Muslims
The idea of power-sharing emerged in opposition to the traditional notions of _____.,undivided political power
What is 'horizontal distribution of power' in a democracy?,"The sharing of power among different organs of government at the same level, such as legislature, executive, and judiciary."
What is the primary function of the 'system of checks and balances' in horizontal power-sharing?,It ensures that no single organ of government can exercise unlimited power.
"The sharing of power among governments at different levels (e.g., Union, State, and Local) is called _____.",vertical division of power
"In India, the general government for the entire country is referred to as the Central or _____ Government.",Union
What is another term for the 'vertical division of power' where a constitution lays down powers for different levels?,Federal division of power
The system of 'reserved constituencies' in India is an example of sharing power among different _____.,social groups
"In modern democracies, competition among different _____ ensures that power does not remain in one hand.",political parties
"When two or more parties form an alliance to contest elections and win, they form a _____.",coalition government
Give an example of interest groups that influence government decision-making process.,"Traders, businessmen, industrialists, farmers, or industrial workers."
Why did the French-speaking people in Brussels accept equal representation in the capital's government?,Because the Dutch-speaking community accepted equal representation in the Central Government.
What was the long-held belief about the location of government power before the emergence of democracy?,It was believed all power must reside in one person or group in one place to allow quick decisions.
"According to the text, what is the basic principle of democracy regarding the source of political power?",People are the source of all political power.
How do judges in a democracy participate in the system of checks and balances?,By checking the functioning of the executive or the laws made by the legislatures.
"Under the Lebanese pact, what did the Muslim community agree to forgo in exchange for power-sharing?",They agreed not to seek unification with the neighboring state of Syria.
"Under the Lebanese pact, what did the Christian community agree to forgo?",They agreed not to seek French protection.
Definition: Prudential,"Decisions based on careful calculation of gains and losses, often contrasted with purely moral considerations."
What does the text suggest is the outcome when a majority community refuses to share power?,It can undermine the unity of the country.
How does power sharing affect the 'tyranny of the majority'?,It prevents the majority from being oppressive to the minority and causing self-harm to the majority.
"In the Indian context, what is an example of power sharing among governments at different levels?",The division of powers between the Union Government and State Governments.
How does the Lebanese man Khalil wish the government to be run?,As a 'normal' democracy where anyone can contest and the winner of maximum votes becomes president regardless of community.
What is the goal of giving minority communities a 'fair share in power' through social group arrangements?,To ensure they do not feel alienated from the government and administration.
"In horizontal power-sharing, why are ministers and government officials responsible to the Parliament?",To ensure accountability and prevent the exercise of unlimited power.
