Which landmass in India is considered one of the most ancient and stable land blocks on Earth?,The Peninsular Plateau
"From a geological perspective, what type of zone do the Himalayan mountains represent?",An unstable zone
The Northern Plains of India are primarily formed by the deposition of _____.,Alluvium
Which rock types primarily compose the Peninsular Plateau?,Igneous and metamorphic rocks
List the six major physiographic divisions of India.,"Himalayan Mountains, Northern Plains, Peninsular Plateau, Indian Desert, Coastal Plains, and Islands."
What is the structural nature of the Himalayan mountain ranges?,Fold mountains
In which direction do the Himalayas stretch across the northern borders of India?,West-east direction (from the Indus to the Brahmaputra)
What is the approximate longitudinal distance covered by the Himalayan arc?,"$2,400$ km"
The width of the Himalayas varies from $400$ km in Kashmir to _____ in Arunachal Pradesh.,$150$ km
Which half of the Himalayas exhibits greater altitudinal variations?,The eastern half
What is the northern-most range of the Himalayas called?,The Great or Inner Himalayas (also known as Himadri)
What is the average height of the peaks in the Great Himalayas (Himadri)?,"$6,000$ metres"
What core material composes the Great Himalayas?,Granite
The mountain system lying to the south of the Himadri is known as Himachal or _____.,Lesser Himalaya
What is the altitude range of the Himachal (Lesser Himalaya) mountains?,"$3,700$ to $4,500$ metres"
Which range is the longest and most important within the Himachal (Lesser Himalaya)?,Pir Panjal range
Name two prominent ranges in the Lesser Himalaya besides the Pir Panjal.,The Dhaula Dhar and the Mahabharat ranges
"In which Himalayan range are the famous valleys of Kashmir, Kangra, and Kullu located?",Himachal (Lesser Himalaya)
What is the outermost range of the Himalayas called?,The Shiwaliks
What is the altitude range of the Shiwalik mountains?,"$900$ to $1,100$ metres"
The Shiwalik ranges are composed of _____ brought down by rivers from the main Himalayan ranges.,Unconsolidated sediments
What are the longitudinal valleys lying between the Lesser Himalaya and the Shiwaliks called?,Duns
Name three well-known Duns in the Himalayan region.,"Dehra Dun, Kotli Dun, and Patli Dun"
Which river valleys demarcate the 'Punjab Himalayas'?,The Indus and the Satluj
The portion of the Himalayas between the Satluj and Kali rivers is known as the _____ Himalayas.,Kumaon
The Nepal Himalayas are demarcated by which two rivers?,The Kali and the Teesta
The 'Assam Himalayas' are located between which two rivers?,The Teesta and the Dihang
Which river marks the eastern-most boundary of the Himalayas?,The Brahmaputra
The Purvachal (Eastern hills) are mostly composed of which type of rock?,Strong sandstones (sedimentary rocks)
Name the four sets of hills that comprise the Purvachal.,"Patkai hills, Naga hills, Manipur hills, and Mizo hills"
Which three major river systems formed the Northern Plain of India?,"The Indus, the Ganga, and the Brahmaputra"
What is the total area covered by the Northern Plain?,$7$ lakh sq km
What are the approximate length and width of the Northern Plain?,"Length: $2,400$ km; Width: $240$ to $320$ km"
Term: Riverine Island,Definition: An island formed within a river due to the decrease in river velocity and subsequent deposition of silt in its lower course.
Which riverine island in the Brahmaputra river is the largest inhabited one in the world?,Majuli
"The word 'Doab' is derived from 'do' (two) and 'ab', which means _____.",Water
The western part of the Northern Plain is known as the _____ Plains.,Punjab
Name the five tributaries of the Indus that originate in the Himalaya.,"Jhelum, Chenab, Ravi, Beas, and Satluj"
The Ganga plain extends between which two rivers?,Ghaggar and Teesta
What is the narrow belt of pebbles (8 to 16 km wide) at the foot of the Shiwaliks called?,Bhabar
"Which wet, swampy, and marshy region lies south of the Bhabar belt?",Terai
What is the name for the older alluvium of the Northern Plain that forms terrace-like features?,Bhangar
The soil in the Bhangar region contains calcareous deposits locally known as _____.,Kankar
"The newer, younger deposits of the floodplains in the Northern Plain are called _____.",Khadar
The Peninsular Plateau was formed due to the breaking and drifting of which ancient landmass?,Gondwana land
Which river divides the Peninsular Plateau into the Central Highlands and the Deccan Plateau?,The Narmada river
Which mountain range bounds the Central Highlands on the south?,The Vindhyan range
The Central Highlands' eastward extensions are locally known as Bundelkhand and _____.,Baghelkhand
Which plateau marks the further eastward extension of the Central Highlands and is drained by the Damodar river?,Chotanagpur plateau
What is the shape of the Deccan Plateau landmass?,Triangular
Name the three prominent hill ranges in the northeast that are an extension of the Peninsular Plateau.,"The Garo, the Khasi, and the Jaintia Hills"
How do the average elevations of the Western Ghats and Eastern Ghats compare?,"Western Ghats ($900$–$1,600$ m) are higher than Eastern Ghats ($600$ m)."
What type of rainfall is caused by the Western Ghats facing rain-bearing moist winds?,Orographic rain
Which peak is the highest in the Western Ghats?,"Anai Mudi ($2,695$ metres)"
Which peak is the highest in the Eastern Ghats?,"Mahendragiri ($1,501$ metres)"
What is the name of the black soil area of volcanic origin in the Peninsular plateau?,Deccan Trap
The _____ Hills lie on the western and northwestern margins of the Peninsular plateau and are highly eroded.,Aravali
What is the average annual rainfall in the Indian Desert region?,Below $150$ mm per year
What are crescent-shaped sand dunes common in the Indian Desert called?,Barchans
"The western coast of India is divided into three sections: Konkan, Kannad Plain, and _____.",Malabar coast
Which part of the eastern coastal plain is referred to as the Coromandel Coast?,The southern part
"What is the name of the largest salt water lake in India, located in Odisha?",Chilika Lake
The Lakshadweep Islands are located close to which coast of India?,Malabar coast of Kerala
Lakshadweep islands are composed of small _____ islands.,Coral
What is the administrative headquarters of the Lakshadweep Islands?,Kavaratti island
Term: Atolls,Definition: Circular or horse shoe-shaped coral reefs.
The Andaman and Nicobar islands are believed to be an elevated portion of _____.,Submarine mountains
Where is India's only active volcano located?,Barren island in the Andaman and Nicobar group
What type of climate is experienced by the Andaman and Nicobar islands due to their proximity to the equator?,Equatorial climate
Which physiographic division of India is known as the 'storehouse of minerals'?,The Peninsular Plateau
Which region of India is considered the 'granary' of the country?,The Northern Plains
What is the height of Mt. Everest as listed in the text?,"$8,848$ metres"
In which country is Mount Kanchenjunga located?,India
What is the height of Kanchenjunga?,"$8,598$ metres"
"Name the highest peak of the Himalayas located in India with a height of $8,126$ metres.",Nanga Parbat
"Identify the Himalayan peak in Nepal with a height of $8,078$ metres.",Annapurna
"Which peak in Uttarakhand, India, has an elevation of $7,817$ metres?",Nanda Devi
In which state is the hill station of Udagamandalam (Ooty) located?,"Tamil Nadu (Note: Context inferred from Ghats section, though not explicitly in text, text asks to locate it)"
The part of the coast in Maharashtra and Goa is called _____.,Konkan
Which river drains the Chotanagpur plateau?,The Damodar river
The Western Ghats are _____ and can be crossed through passes only.,Continuous
Name the three passes used to cross the Western Ghats mentioned in the text.,"Thal, Bhor, and Pal Ghats"
Which range forms the broad base of the Deccan Plateau in the north?,The Satpura range
"The slope of the rivers in the Central Highlands (Chambal, Sind, Betwa, Ken) indicates the plateau slopes from _____ to _____.",Southwest to northeast
