"Under the Legal Framework Order, what major power was given to the President of Pakistan?",The power to dismiss the national and provincial assemblies.
Which party led Zimbabwe's freedom struggle and ruled the country after independence?,ZANU-PF
Who was the long-time leader of Zimbabwe from independence until 2017?,Robert Mugabe
Feature of Democracy: A democratic government rules within limits set by _____ and _____.,Constitutional law; citizens' rights
What is the Greek origin of the word 'democracy'?,Demokratia
"In the Greek word 'Demokratia', what does 'demos' mean?",People
"In the Greek word 'Demokratia', what does 'kratia' mean?",Rule
"Provide the simple, starting definition of democracy used in the text.",Democracy is a form of government in which the rulers are elected by the people.
Why is the simple definition of democracy considered inadequate on its own?,"It could misleadingly include every government that holds an election, even if they only pretend to be a democracy."
Who led a military coup in Pakistan in October 1999?,General Pervez Musharraf
What designation did Pervez Musharraf first give himself after the 1999 coup?,Chief Executive
What was the result of the 2002 referendum in Pakistan for General Musharraf?,He was granted a five-year extension as President.
Why did democracy activists criticize the 2002 referendum in Pakistan?,It was reportedly based on malpractices and fraud.
Which 2002 order amended the Constitution of Pakistan?,Legal Framework Order
"In Musharraf's Pakistan, which body supervised the work of the civilian cabinet?",National Security Council
Who dominated the National Security Council in Pakistan under Musharraf?,Military officers
Why was Pakistan under Musharraf not a democracy despite having elected representatives?,The final decision-making power rested with non-elected military officials and General Musharraf.
"Feature of Democracy: In a democracy, where must the final decision-making power rest?",With those elected by the people.
What is the name of the Chinese parliament?,National People's Congress (Quanguo Renmin Daibiao Dahui)
"In China, which body has the power to appoint the President of the country?",The National People's Congress
Which organization must approve a candidate before they can contest elections in China?,The Chinese Communist Party
Why are elections in China not considered democratic?,They do not offer the people a real choice between political alternatives.
"Since its independence in 1930, how often does Mexico hold presidential elections?",Every six years
What was the dominant political party in Mexico that won every election until 2000?,PRI (Institutional Revolutionary Party)
"In Mexico, how did the PRI party use government teachers for political ends?",Teachers were used to force parents to vote for the PRI.
"In Mexico, what dirty trick did the PRI use to disrupt voting on election day?",Shifting polling booths from one place to another at the last minute.
Feature of Democracy: A democracy must be based on a _____ and _____ election.,Free; fair
"In a truly democratic election, what chance should those currently in power have?",A fair chance of losing.
"Until 2015, which country denied women the right to vote?",Saudi Arabia
"In Estonia, citizenship rules make it difficult for which group to get the right to vote?",The Russian minority
How does the value of a vote differ in Fiji's electoral system?,The vote of an indigenous Fiji has more value than that of an Indian-Fijian.
"Feature of Democracy: In a democracy, each adult citizen must have _____ vote and each vote must have _____ value.",One; one
How did Robert Mugabe's government treat the constitution over the years?,It changed the constitution several times to increase the President's powers and reduce accountability.
What happened to public protests and demonstrations in Mugabe's Zimbabwe?,They were declared illegal.
How did the Zimbabwean government under Mugabe treat the judiciary?,It ignored court judgments that went against it and pressurized judges.
The example of Zimbabwe proves that popular approval of rulers is necessary but not _____.,Sufficient
"In a democracy, what must the state respect in the period before elections?",Basic rights of the citizen (like freedom of thought and expression).
Who must protect the basic rights of citizens in a democracy?,An independent judiciary
Why is it argued that democracy leads to 'instability'?,Because leaders keep changing frequently.
What is the argument against democracy regarding decision-making speed?,The need to consult many people leads to significant delays.
Why do some argue that democracy leads to bad decisions?,Elected leaders do not always know the best interest of the people.
What is the argument against democracy regarding corruption?,"Democracy is based on electoral competition, which can lead to corruption."
"Quote: Abraham Lincoln defined democracy as government of the _____, by the _____, and for the _____.",People; people; people
Why is a clear definition of democracy needed when many countries use the term?,Because very different kinds of governments call themselves democracy for different purposes.
How does the example of the 'computer' explain the evolution of words?,The meaning of a word can change over time even if the word remains the same.
"In a democracy, how should major decisions be handled after elections?",Every major decision must go through a series of consultations.
"To whom are office bearers in a democracy accountable, besides the people?",Other independent officials
What must a democratic government respect regarding minorities?,Guarantees to the minorities
What is the core difference between a monarch's rule and an elected ruler's rule?,"Monarchs rule by birthright, while elected rulers are chosen by the people."
Give an example from the text of a country where the army rules without election.,Myanmar
"According to the text, what is the 'bare minimum' objective of defining democracy?",To distinguish a democratic form of government from a non-democratic government.
"In the debate on democracy, what is the danger of a 'strong' leader who has all the powers?",The person might start using those powers for themselves or their family (dictatorship).
How does 'rule of law' protect citizens in a democracy?,It ensures that everyone is equal in the eyes of the law.
Why are elections in Mexico under the PRI party considered unfair?,The PRI used dirty tricks and government resources to ensure they could never be defeated.
"In the summary definition, who takes all the major decisions in a democracy?",Rulers elected by the people
How does democracy address the 'human inclination to injustice'?,By making democracy a necessary system to provide checks on power.
Identify the non-democratic leader of Chile mentioned in the text.,Pinochet
What happened to Robert Mugabe in 2017?,He was forced out of office.
"Why is the term 'one person, one vote, one value' significant?",It emphasizes political equality where every individual's choice carries the same weight.
What is the primary factor common to all democracies mentioned at the start of the chapter?,The government is chosen by the people.
