Why is population considered the pivotal element in social studies?,It is the point of reference from which all other elements derive significance and meaning.
How does the textbook define when a natural event like a flood becomes a 'disaster'?,When the event affects a crowded village or town inhabited by human beings.
Human beings are considered both _____ and _____ of the earth's resources.,producers; consumers
What was India's total population recorded as of March 2011?,"$1,210.6$ million (or $1.21$ billion)."
What percentage of the world's population lived in India in 2011?,More than $17$ per cent.
India's land area of $3.28$ million square km accounts for what percentage of the world's total area?,$2.4$ per cent.
Which Indian state was identified as the most populous in the 2011 Census?,Uttar Pradesh.
"According to the 2011 Census, what was the approximate population size of Uttar Pradesh?",$199$ million.
Which Himalayan state had a population of only about $0.6$ million in 2011?,Sikkim.
What was the population of Lakshadweep according to the 2011 Census?,"$64,429$ people."
List the five states where almost half of India's population resides.,"Uttar Pradesh, Maharashtra, Bihar, West Bengal, and Andhra Pradesh."
"What percentage of India's total population resides in Rajasthan, the country's biggest state by area?",$5.5$ per cent.
Term: Census,Definition: An official enumeration of a population done periodically.
In what year was the first population census held in India?,1872.
In what year was the first complete census taken in India?,1881.
How frequently are censuses held in India?,Every tenth year.
Formula: Population Density,The number of persons per unit area.
Which two countries have higher average population densities than India?,Bangladesh and Japan.
What was the average population density of India in the year 2011?,$382$ persons per sq km.
Which state had the highest population density in India in 2011?,"Bihar ($1,102$ persons per sq km)."
Which state had the lowest population density in India in 2011?,Arunachal Pradesh ($17$ persons per sq km).
What physical factors contribute to sparse population in areas with densities below $250$ persons per sq km?,Rugged terrain and unfavourable climatic conditions.
Why do the Northern plains and Kerala have very high population densities?,They feature flat plains with fertile soils and abundant rainfall.
How is the 'absolute increase' of a population calculated for a decade?,By subtracting the population of the earlier decade from the population of the later decade.
What is the meaning of an 'annual growth rate' of $2$ per cent?,There was an increase of two persons for every $100$ persons in the base population in a given year.
What was the trend of India's annual population growth rate between 1951 and 1981?,It was steadily increasing.
Why can a declining growth rate still result in a massive absolute increase in India's population?,"When a percentage rate is applied to a very large base population, the total number added remains very large."
"According to the United Nations, which country did India overtake in 2023 to become the most populous in the world?",China.
What are the three main processes that influence population change?,"Births, deaths, and migrations."
How is the 'natural increase' of a population defined?,The difference between birth rates and death rates.
Term: Birth Rate,Definition: The number of live births per thousand persons in a year.
Term: Death Rate,Definition: The number of deaths per thousand persons in a year.
What has been the main cause of the rapid growth of the Indian population historically?,The rapid decline in death rates while birth rates remained high.
What is the difference between internal and international migration?,"Internal occurs within a country, while international occurs between countries."
How does internal migration affect a country's total population size?,"It does not change the total size, only the distribution of population within the nation."
"In India, what is the primary direction of internal migration?",From rural areas to urban areas.
Describe the 'push' factor driving migration from rural areas in India.,Adverse conditions of poverty and unemployment in rural regions.
Describe the 'pull' factor attracting migrants to Indian cities.,Increased employment opportunities and better living conditions.
What percentage of India's total population was urban in 2011?,$31.80$ per cent.
How many 'million plus cities' were there in India in 2011?,$53$ cities.
What age group is classified as the 'adolescent population' in India?,$10$ to $19$ years.
Adolescents constitute what fraction of India's total population?,One-fifth.
What is a major health concern for a large number of adolescent girls in India?,Anaemia.
In what year did the Government of India initiate the comprehensive Family Planning Programme?,1952.
What is the primary objective of the National Population Policy (NPP) 2000 regarding education?,Imparting free and compulsory school education up to $14$ years of age.
The NPP 2000 aims to reduce the infant mortality rate to below what level?,"$30$ per $1,000$ live births."
"According to the Census, what is the definition of a 'literate' person?",A person aged $7$ years and above who can read and write any language with understanding.
Term: Adolescence,"Definition: A period in which a person is no longer a child and not yet an adult, typically aged $10$ to $19$ years."
Term: Dependency Ratio,Definition: The ratio of people of dependent age (under $15$ and over $60$) to those of economically active ages ($15$-$59$).
Term: Life Expectancy,Definition: The average number of years a person is expected to live.
Term: Sex-ratio,Definition: The number of females per thousand males in a population.
What type of land is an 'alluvial plain'?,A level tract of land made of fine rock material brought down by a river.
What is a 'million plus city' in the context of Indian demographics?,A city with a population of more than one million or $10$ lakh.
Migration: What is the difference between immigration and emigration?,Immigration is coming to a country from another; emigration is leaving one's country for another.
How is the 'growth rate of population' estimated?,By comparing the absolute increase in population with the base population.
What geographical area is referred to by the term 'Indian mainland'?,The contiguous landmass from Jammu and Kashmir to Kanniyakumari and Gujarat to Arunachal Pradesh.
Term: Indian Standard Time,Definition: The local time along the Standard Meridian of India ($82^{\circ}30'E$).
Which states in India generally have moderate population densities?,Assam and most of the Peninsular states.
Which state became the $29$th State of India in June 2014?,Telangana.
What occurred on 05.08.19 regarding the state of Jammu and Kashmir?,"It was bifurcated into two union territories: Jammu and Kashmir, and Ladakh."
"According to Table 6.1, in which decade did India experience its highest annual growth rate?",1981 (at $2.22$ per cent).
Why is migration considered a determinant factor of population change?,It changes population size and composition (age/sex) in both the area of departure and arrival.
What are 'million plus cities' called in some contexts within the text?,Cities with a population of more than $10$ lakh.
NPP 2000 seeks to achieve universal _____ of children against all vaccine-preventable diseases.,immunisation
What social practice does the NPP 2000 promote to improve the welfare of girls?,Delayed marriage.
