Approximately what percentage of the French population were peasants in the 18th century?,$90\%$
Who wrote the work 'Two Treatises of Government'?,John Locke
What doctrine did John Locke seek to refute in his political writings?,The doctrine of the divine and absolute right of the monarch.
Who proposed a form of government based on a social contract between people and their representatives?,Jean Jacques Rousseau
In which book did Montesquieu propose the separation of powers?,The Spirit of the Laws
What was the Estates General?,A political body to which the three estates sent their representatives.
On what date did Louis XVI call the final assembly of the Estates General?,5 May 1789
How many representatives did the Third Estate have in the Estates General of 1789?,$600$
What was the title of the influential pamphlet written by Abbé Sieyès?,What is the Third Estate?
What event in the countryside involved peasants attacking chateaux and burning manorial records?,The Great Fear
On what date did the National Assembly pass the decree abolishing the feudal system of obligations and taxes?,4 August 1789
Who was the revolutionary journalist that edited the newspaper 'L’Ami du peuple'?,Jean-Paul Marat
Which symbol represents the personification of the law in Le Barbier’s painting?,The winged woman
With which king did Louis XVI enter into secret negotiations despite signing the Constitution?,The King of Prussia
When did the National Assembly vote to declare war against Prussia and Austria?,April 1792
How did the 1791 Constitution classify citizens who had no voting rights?,Passive citizens
What was the primary reason for rioting in both Paris and the countryside after the storming of the Bastille?,Protesting against the high price of bread.
"Under the 1791 Constitution, who exercised the power of 'Veto' over the National Assembly?",The King
What was the total value of assets acquired by the government after confiscating Church lands?,At least $2$ billion livres
What specific privilege did the first two estates enjoy regarding state finances?,Exemption from paying taxes.
"According to the Declaration of Rights, what is the 'law' an expression of?",The general will
"On what specific date did the city of Paris enter a state of alarm, marking the start of the French Revolution?",14 July 1789
Which fortress-prison in Paris was stormed by citizens in search of ammunition in 1789?,The Bastille
Why was the Bastille hated by the people of France?,It stood for the despotic power of the king.
Which king of the Bourbon family ascended the throne of France in 1774?,Louis XVI
Which Austrian princess was the wife of King Louis XVI?,Marie Antoinette
What was the unit of currency in France that was discontinued in 1794?,Livre
What was the primary reason for the empty treasury Louis XVI found upon his accession?,Long years of war had drained the financial resources of France.
How much debt did the war to help the American colonies add to the French state?,More than $1$ billion livres
What interest rate did lenders charge the French state on loans during the late 18th century?,$10\%$
What term is used to describe the society and institutions of France before 1789?,Old Regime
Which estate in French society was responsible for paying taxes?,The Third Estate
What group of people made up the First Estate in French society?,The Clergy
What group of people made up the Second Estate in French society?,The Nobility
Term: Tithe,A tax levied by the church comprising $\frac{1}{10}$ of the agricultural produce.
Term: Taille,A tax to be paid directly to the state.
What was the staple diet of the majority of people in 18th-century France?,Bread
What is a 'subsistence crisis'?,An extreme situation where the basic means of livelihood are endangered.
"What was the population of France in 1789, compared to 23 million in 1715?",$28$ million
Which social group emerged in the 18th century and earned wealth through overseas trade and manufacturing?,The middle class
"Which philosopher proposed a division of power within government between the legislative, executive, and judiciary?",Montesquieu
What voting principle did the Third Estate demand at the Estates General in 1789?,"Voting should be conducted by the assembly as a whole, where each member has one vote."
Where did the representatives of the Third Estate assemble to declare themselves a National Assembly?,An indoor tennis court in the grounds of Versailles
What was the main goal of the Tennis Court Oath?,To draft a constitution for France that would limit the powers of the monarch.
Who were the two main leaders of the National Assembly at its inception?,Mirabeau and Abbé Sieyès
What was the main objective of the Constitution of 1791?,To limit the powers of the monarch.
How was the National Assembly elected under the 1791 Constitution?,Indirectly elected by a group of electors chosen by citizens.
Who were considered 'Active Citizens' in the 1791 political system?,Men over $25$ who paid taxes equal to at least $3$ days of a labourer’s wage.
Which document established rights like freedom of speech and equality before law as 'natural and inalienable'?,The Declaration of the Rights of Man and Citizen
"In revolutionary symbolism, what does a 'broken chain' represent?",The act of becoming free.
"In revolutionary symbolism, what does the 'eye within a triangle radiating light' stand for?",Knowledge
"In revolutionary symbolism, what do the 'bundles of rods' (fasces) represent?",Strength lies in unity.
What did the 'Red Phrygian cap' symbolize in the French Revolution?,A cap worn by a slave upon becoming free.
"What are the three national colors of France, as established during the revolution?","Blue, white, and red"
"In the context of the revolution, what does the 'snake biting its tail to form a ring' symbolize?",Eternity
"What is the name of the French national anthem, composed by Roget de L’Isle?",The Marseillaise
Which political club became the most successful rallying point for discussing government policies after 1791?,The Jacobins
What was the social composition of the Jacobin club members?,"Mainly less prosperous sections like small shopkeepers, artisans, and printers."
In what year did Napoleon Bonaparte become the emperor of France?,1804
In what year and at what battle was Napoleon finally defeated?,1815 at Waterloo
Term: Chateau,A castle or stately residence belonging to a king or a nobleman.
Term: Manor,An estate consisting of the lord’s lands and his mansion.
