Where was the earliest kind of hand printing technology developed?,"China, Japan, and Korea."
How were books printed in China from AD 594 onwards?,By rubbing paper against the inked surface of woodblocks.
Why were traditional Chinese 'accordion books' folded and stitched at the side?,"Both sides of the thin, porous sheet could not be printed."
Term: Calligraphy,Definition: The art of beautiful and stylised writing.
Which institution was the major producer of printed material in China for a long time?,The imperial state.
What was the primary purpose of the vast numbers of textbooks printed by the Chinese imperial state?,To recruit personnel through civil service examinations.
How did the use of print diversify in 17th-century China as urban culture bloomed?,Merchants used it for trade information and reading became a leisure activity.
Which city became the hub of the new Western-style print culture in 19th-century China?,Shanghai.
Who introduced hand-printing technology into Japan around AD 768-770?,Buddhist missionaries from China.
"What is the name of the oldest Japanese book, printed in AD 868?",The Buddhist Diamond Sutra.
Concept: Ukiyo,Definition: An art form meaning 'pictures of the floating world' depicting ordinary urban experiences.
Which Japanese artist is widely known for his contributions to the 'ukiyo' art form?,Kitagawa Utamaro.
What is the Tripitaka Koreana?,"A 13th-century Korean collection of Buddhist scriptures engraved on 80,000 woodblocks."
How did Chinese paper reach Europe in the 11th century?,Via the silk route.
Who brought the knowledge of woodblock printing technology from China to Italy in 1295?,Marco Polo.
Term: Vellum,Definition: A parchment made from the skin of animals used for luxury handwritten editions.
Why did the circulation of handwritten manuscripts remain limited despite increasing demand for books?,"They were expensive, laborious to produce, and fragile."
Who developed the first-known printing press in the 1430s?,Johann Gutenberg.
"The first printing press was developed in _____, Germany.",Strasbourg.
What provided the model for Gutenberg's printing press design?,The olive press.
What was the first book printed by Johann Gutenberg?,The Bible.
Term: Platen,"Definition: In letterpress printing, a board pressed onto the back of paper to get the impression from the type."
"By the 16th century, the number of printed books in Europe reached approximately _____ copies.",200 million.
How did early printed books maintain a connection to the style of manuscripts?,Metal letters imitated ornamental handwritten styles and borders were illuminated by hand.
Term: Compositor,Definition: The person who composes the text for printing.
Term: Galley,Definition: The metal frame in which types are laid and the text is composed.
How did printers persuade non-literate people to welcome printed books?,By publishing illustrated popular ballads and folk tales that could be read aloud.
Term: Ballad,"Definition: A historical account or folk tale in verse, usually sung or recited."
Term: Tavern,"Definition: Places where people gathered to drink, eat, and exchange news."
"In 1517, which reformer wrote 'Ninety Five Theses' challenging the Roman Catholic Church?",Martin Luther.
"According to Martin Luther, what was the 'ultimate gift of God and the greatest one'?",Printing.
Term: Protestant Reformation,"Definition: A 16th-century movement to reform the Catholic Church, leading to anti-Catholic Christian traditions."
Who was the Italian miller executed by the Roman Church for reinterpreting the Bible in the 16th century?,Menocchio.
Term: Inquisition,Definition: A former Roman Catholic court for identifying and punishing heretics.
What did the Roman Church begin maintaining in 1558 to control publishers and booksellers?,The Index of Prohibited Books.
Term: Heretical,Definition: Beliefs which do not follow the accepted teachings of the Church.
Term: Almanac,Definition: An annual publication giving astronomical data and information important to everyday life.
"In England, what were the cheap, pocket-size books sold by traveling pedlars called?",Penny chapbooks.
Term: Bibliotheque Bleue,Definition: Low-priced small books printed on poor quality paper with cheap blue covers in France.
Which 18th-century French novelist declared the printing press to be the 'most powerful engine of progress'?,Louise-Sebastien Mercier.
Term: Despotism,Definition: A system of governance where absolute power is exercised by an individual without legal checks.
What type of 1780s literature mocked the French royalty and suggested they were absorbed in sensual pleasures?,Cartoons and caricatures.
Why was a children's press set up in France in 1857?,"Primary education became compulsory, making children a critical category of readers."
Who compiled traditional German folk tales from peasants and published them in 1812?,The Grimm Brothers.
What was the role of lending libraries in 19th-century England?,"To educate white-collar workers, artisans, and lower-middle-class people."
"Who perfected the power-driven cylindrical press capable of printing 8,000 sheets per hour?",Richard M. Hoe.
What technological development in the late 19th century allowed for printing up to six colours at a time?,The offset press.
What was the 'Shilling Series' in 1920s England?,Popular works sold in cheap series to target a wider audience.
Why did publishers introduce cheap paperback editions in the 1930s?,To sustain book buying during the Great Depression.
What were the primary materials used for handwritten manuscripts in India before print?,Palm leaves or handmade paper.
When and where did the first printing press arrive in India?,In Goa with Portuguese missionaries in the mid-16th century.
"In 1780, who began editing the 'Bengal Gazette', a private weekly magazine in India?",James Augustus Hickey.
What is the Jikji of Korea notable for?,Being among the world's oldest existing books printed with movable metal type.
