"How many mega bio-diversity countries are there in the world, including India?",12
What is India's global rank in terms of plant diversity?,Tenth
What is India's rank in plant diversity within Asia?,Fourth
Approximately how many plant species does India possess?,"47,000"
What percentage of the world's flowering plants are found in India?,$6$ per cent
How many species of animals are approximately found in India?,"90,000"
Term for a plant community grown naturally without human aid and left undisturbed for a long time.,Natural vegetation (or virgin vegetation)
What is the term for virgin vegetation that is purely native to India?,Endemic (or indigenous) species
What is the term for plants that have come to India from outside the country?,Exotic plants
The term _____ is used to denote the plants of a particular region or period.,Flora
The term _____ refers to the species of animals found in a particular region.,Fauna
What is the minimum annual rainfall required for Tropical Evergreen forests to be at their best?,More than $200\text{ cm}$
What is the maximum height trees can reach in Tropical Evergreen forests?,$60\text{ metres}$ or above
Why do Tropical Evergreen forests appear green all year round?,There is no definite time for trees to shed their leaves.
Name three commercially important trees found in Tropical Evergreen forests.,"Ebony, mahogany, and rosewood (also rubber and cinchona)"
In which Indian states are one-horned rhinoceroses typically found?,Assam and West Bengal
What is the most widespread type of forest in India?,Tropical Deciduous Forests
Tropical Deciduous Forests are also commonly known as _____ forests.,Monsoon
What is the typical rainfall range for Tropical Deciduous Forests?,Between $200\text{ cm}$ and $70\text{ cm}$
For how long do trees in Tropical Deciduous forests shed their leaves in dry summer?,Six to eight weeks
What rainfall range characterizes the Moist Deciduous forests?,Between $200\text{ cm}$ and $100\text{ cm}$
Which tree species is the most dominant in Tropical Deciduous forests?,Teak
What rainfall range defines the Dry Deciduous forests?,Between $100\text{ cm}$ and $70\text{ cm}$
Which type of vegetation is found in regions with less than $70\text{ cm}$ of rainfall?,Thorn Forests and Scrubs
Why do trees in Thorn Forests have long roots penetrating deep into the soil?,To obtain moisture from deep underground.
What is the purpose of succulent stems in plants of the Thorn Forests?,To conserve water.
"In Thorn Forests, leaves are often thick and small to minimize _____.",Evaporation
"At what altitude are wet temperate forests, featuring oaks and chestnuts, typically found?",Between $1000$ and $2000\text{ metres}$
Name two coniferous trees found in temperate forests between $1500$ and $3000\text{ metres}$.,"Pine and deodar (also silver fir, spruce, and cedar)"
"At altitudes generally above $3600\text{ metres}$, temperate forests give way to _____ vegetation.",Alpine
Which nomadic tribes use Alpine grasslands extensively for grazing?,Gujjars and Bakarwals
What types of plants form part of the tundra vegetation at very high altitudes?,Mosses and lichens
Where are Mangrove tidal forests typically found?,In coastal areas influenced by tides.
What is the distinguishing feature of mangrove roots?,The roots are submerged under water.
Which tree found in the Ganga-Brahmaputra delta provides durable hard timber?,Sundari tree
What famous predator inhabits the mangrove forests of the Ganga-Brahmaputra delta?,Royal Bengal Tiger
"India's $2,000$ bird species constitute what percentage of the world's total?",$13\%$
"India's $2,546$ fish species account for approximately what percentage of the world's stock?",Nearly $12\%$
"Which medicinal plant, used to treat blood pressure, is found only in India?",Sarpagandha
Which part of the Jamun plant is used to control diabetes?,The powder of the seed.
The fresh juice of which plant's leaves is used to cure earache and regulate blood pressure?,Arjun
Which medicinal plant is known for its high antibiotic and antibacterial properties?,Neem
What are the medicinal uses of the Kachnar plant?,"To cure asthma, ulcers, and digestive problems."
In which Indian states are elephants primarily found?,"Assam, Karnataka, and Kerala"
What are the specific habitats for wild ass and camels in India?,The Rann of Kachchh (wild ass) and the Thar Desert (camels).
In what year was the Wildlife Protection Act implemented in India?,1972
India is the only country in the world that naturally hosts both _____ and _____.,Tigers and lions
What is the last remaining natural habitat of the Asiatic lion?,Gir forest in Gujarat
Which animal is the only representative of its variety of crocodile found in the world today?,Gharial
"Name the high-altitude, shaggy horned wild ox found in Ladakh.",Yak
Which migratory bird with brilliant pink plumage visits the Rann of Kachchh in thousands?,Flamingo
What are the primary causes of the threat to India's flora and fauna?,"Hunting, pollution, alien species, and reckless deforestation."
How many biosphere reserves have been set up in India to protect flora and fauna?,18
List four Indian biosphere reserves included in the world network of biosphere reserves.,"Sundarbans, Nanda Devi, Gulf of Mannar, and Nilgiri (also others like Nokrek, Panna, etc.)"
Government financial and technical assistance to botanical gardens began in which year?,1992
Name three specific animal conservation projects introduced by the Indian government.,"Project Tiger, Project Rhino, and Project Great Indian Bustard"
How many National Parks have been established in India to preserve natural heritage?,106
Approximately how many plant species in India are currently considered endangered?,"1,300"
Which migratory bird from Siberia visits Indian wetlands in large numbers during winter?,Siberian Crane
