Why is democracy preferred over dictatorship in principle despite practical shortcomings?,"It promotes equality, enhances individual dignity, improves decision-making, and allows room to correct mistakes."
What is the most basic procedural outcome expected from a democratic government?,It should be accountable to citizens and responsive to their needs and expectations.
How does the decision-making process in a democracy differ from a non-democratic regime?,"Democracy is based on deliberation and negotiation, whereas non-democratic rulers can be quick and efficient by ignoring public opinion."
Why is the 'cost of time' paid by democratic governments for deliberation considered valuable?,Decisions following correct procedures are more likely to be acceptable to the people and effective in the long run.
Term: Transparency,Definition: The right and the means of a citizen to examine the process of government decision-making.
What institutions and practices are used to measure the accountability of a democracy?,"Regular free and fair elections, open public debate on major policies, and citizens' right to information."
How does the record of democracies compare to non-democracies regarding corruption and sensitivity to demands?,"The record is not impressive, as democracies often frustrate needs and have routine tales of corruption, though non-democracies are not necessarily better."
"Democracy is unique because, despite potential inefficiency, it is a _____ government, meaning it belongs to the people.",legitimate
"According to evidence from South Asia, why do people prefer democracy even in countries without democratic regimes?",They wish to be ruled by representatives elected by them and believe democracy is suitable for their country.
How did the economic growth rates of dictatorships compare to democracies between 1950 and 2000?,Dictatorial regimes had a slightly higher average rate of economic growth ($4.42\%$) compared to democracies ($3.95\%$).
In which economic category is the difference in growth rates between democracies and dictatorships negligible?,Poor (less developed) countries.
"Aside from regime type, what factors influence a country's economic development?","Population size, global situation, cooperation from other countries, and adopted economic priorities."
"In countries like South Africa and Brazil, what percentage of the national income is taken by the top $20\%$ of the population?",More than $60\%$.
Which two countries are listed in Table 2 as having the lowest income inequality among the selected examples?,Denmark and Hungary.
The parallel process of bringing individuals into the political arena on an equal footing while wealth becomes concentrated is known as _____.,growing economic inequality
Why are democratically elected governments in India often slow to address the question of poverty?,"Although the poor are a large proportion of voters, governments often fail to be as keen on poverty reduction as expected."
In which country does more than half of the population live in poverty according to the source material?,Bangladesh.
How does democracy typically handle social divisions and differences?,By developing procedures to conduct competition peacefully and evolving mechanisms to negotiate differences.
Which country serves as a reminder that democracy must fulfill specific conditions to successfully handle social diversity?,Sri Lanka.
What condition regarding 'majority rule' must be met for a government to function democratically?,The majority must always work with the minority so that the government represents the general view.
When does a democracy cease to be accommodative for a person or group?,When someone is barred from being in the majority based on their birth.
What are the dual 'passions' that form the basis of democracy according to the section on dignity and freedom?,Respect and freedom.
How does the formal recognition of equality in a democracy assist women's struggles?,"It provides a legal and moral basis to wage a struggle against unacceptable treatment, which is missing in non-democratic setups."
How has democracy in India affected the status of disadvantaged and discriminated castes?,It has strengthened their claims for equal status and equal opportunity.
Why is the fact that people are 'complaining' about democracy seen as a testimony to its success?,It shows that citizens have developed the awareness to look critically at power holders and expect better performance.
Democracy transforms people from the status of a 'subject' into that of a _____.,citizen
Which South Asian country shows the highest support ($95\%$) for the rule of leaders elected by the people after Sri Lanka ($98\%$) and Bangladesh ($96\%$)?,India.
"In South Asia, what percentage of people believe that their vote makes a difference?",$65\%$.
What does Nannu's example illustrate about the power of citizens in a democracy?,The use of tools like the Right to Information (RTI) can force government officials to be accountable and responsive.
What is the primary step toward thinking carefully about the outcomes of democracy?,Recognizing that democracy is just a form of government that creates conditions for achieving goals.
"Rule by majority in a democracy means that in every decision, different _____ may form a majority.",persons and groups
What makes the 'examination' of democracy distinctive from other forms of government?,"It never gets over; as it passes one test, it produces another test in the form of higher expectations."
What does the cartoon 'The Rich Get Buff' suggest about the distribution of economic gains?,"The gains of economic growth are disproportionately distributed, with the rich getting 'buff' (wealthier) while the poor remain weak."
"According to the graph, which South Asian country feels democracy is most suitable for them?",Bangladesh ($93\%$).
"In Table 2, what is the share of national income for the bottom $20\%$ in the USA?",$4.0\%$.
What is the economic growth rate for poor countries under a democracy according to Table 1?,$4.28\%$.
"According to the section on accountability, what right do citizens have regarding government decision-making?",The right and the means to examine the process of decision-making.
Democratic governments are considered 'legitimate' because they are the _____ own government.,people's
What provides the 'legal and moral force' for individual freedom in a democracy that is missing in non-democratic setups?,The principle of individual freedom and dignity.
How does democracy address the possibility of social tensions becoming violent?,It develops procedures to conduct competition between different groups.
"In the 'Rosa Parks Still Inspires' cartoon, her seat is labeled with the words '_____'.",Moral Courage
Why is it reasonable to prefer democracy even if its economic growth is slightly lower than a dictatorship?,"Because it has several other positive outcomes, such as promoting dignity, equality, and conflict resolution."
What must a majority do in a democracy to ensure the government functions to represent the general view?,Work with the minority.
What is the found effect of democracy on the 'calculus of utility' regarding voting?,Belief in the efficacy of the vote is placed above the calculus of utility.
"The 'Poor Kids' cartoon shows kids falling down stairs labeled with 'Schooling', 'Health Care', and '_____'.",Housing
What was the growth rate for poor countries under a dictatorship from 1950-2000?,$4.34\%$.
"In Russia, what percentage of the national income is held by the top $20\%$?",$53.7\%$.
What does 'rule by majority' specifically NOT mean in terms of social groups?,"It does not mean rule by a majority community in terms of religion, race, or linguistic group."
What impact did Nannu’s RTI application have on the officials?,It prompted a visit from an inspector within a week and led the Food and Supply Officer to offer him tea and request the withdrawal of the application.
"In South Asia, which country shows the lowest support ($37\%$) for the statement 'Democracy is preferable'?",Pakistan.
"In Table 2, what is the share of national income for the bottom $20\%$ in the United Kingdom?",$6.0\%$.
Democracy is just a form of government; it can only create _____ for achieving something.,conditions
The 'World's Wealth Owned by a Few' cartoon shows a small person sitting at a table with $2\%$ of a pizza while a large person has _____.,$50\%$
What allows democracy to correct its own mistakes?,The existence of public space for discussion and the ability of citizens to change their rulers.
The recognition that respect and equal treatment of women are necessary ingredients of a democratic society is a/an _____.,principle
What did students in Madam Lyngdoh's class conclude about democracy?,That democracy is a better form of government compared with dictatorship or any other alternative.
"In South Asia, what percentage of people agree that 'it doesn't matter' whether the government is democratic or not?",$25\%$.
"In Sri Lanka, what percentage of people agree that democracy is 'very suitable' or 'suitable' for their country?",$92\%$.
Democracy’s ability to generate its own _____ is an outcome that cannot be ignored.,support
What is the share of national income for the bottom $20\%$ in Brazil?,$2.6\%$.
"Democracies are based on _____ equality, where all individuals have equal weight in electing representatives.",political
