What role do traders play in the movement of goods and services?,They facilitate movement by making products available to consumers through transportation.
Why are efficient means of transport considered prerequisites for fast national development?,Development depends on both the production of goods and their efficient movement across space.
What are the three important domains of Earth used for the movement of goods and services?,"Land, water, and air."
"In modern times, transport has converted the world into a _____.",large village
"Why are transport, communication, and trade considered complementary to each other?",Transport relies on developed communication systems to expand the influence and efficiency of trade.
What was the total aggregate length of India's road network in $2020-21$?,$62.16$ lakh km
Provide one reason why roadways have an edge over railways in construction.,The construction cost of roads is much lower than that of railway lines.
How do roads compare to railways regarding difficult terrains like mountains?,Roads can negotiate higher gradients of slopes and traverse dissected topography more easily.
Which mode of transport is specifically described as providing 'door-to-door' service?,Road transport
"What major road development project links Delhi, Kolkata, Chennai, and Mumbai?",Golden Quadrilateral Super Highways
Which cities are connected by the North-South corridor?,Srinagar and Kanniyakumari
Which two locations are linked by the East-West corridor?,Silchar and Porbandar
What is the primary objective of the Super Highway projects in India?,To reduce the time and distance between the mega cities of India.
Which authority is responsible for implementing Super Highway projects in India?,National Highway Authority of India (NHAI)
Define 'National Highways' within the Indian road classification system.,Primary road systems that link extreme parts of the country.
Which roads link a state capital with various district headquarters?,State Highways
What is the purpose of District Roads?,To connect the district headquarters with other places within the district.
Which scheme provided a major impetus to the development of rural roads in India?,Pradhan Mantri Grameen Sadak Yojana
What is the primary function of the Border Roads Organisation (BRO)?,To construct and maintain roads of strategic importance in northern and north-eastern border areas.
When was the Border Roads Organisation established?,$1960$
"Identify the type of road that is made of cement, concrete, or bitumen and is usable in all weather conditions.",Metalled roads
What is the length of the Atal Tunnel?,$9.02\text{ km}$
Which two regions does the Atal Tunnel connect throughout the year?,Manali and the Lahul-Spiti valley
What is the principal mode of transportation for freight and passengers in India?,Railways
Where and when did the first train in India operate?,From Mumbai to Thane in $1853$.
The Indian Railway network is currently reorganized into _____ zones.,$17$
Which physiographic region provided the most favorable conditions for railway growth due to vast level land and high population density?,The Northern plains
What is the track width of a 'Broad Gauge' railway in India?,$1.676\text{ metres}$
Identify a major problem faced by the Konkan railway during its development along the west coast.,Sinking of tracks in some stretches and landslides.
What is a major advantage of pipeline transport regarding operational efficiency?,It rules out trans-shipment losses or delays.
How can solids be transported through a pipeline?,By converting them into slurry.
"What is the name of the first $1,700\text{ km}$ long cross-country gas pipeline in India?",Hazira-Vijaipur-Jagdishpur (HVJ) pipeline
Why are waterways considered the most suitable mode for carrying heavy and bulky goods?,They are the cheapest means of transport and are fuel-efficient.
What is the total length of inland navigation waterways in India?,"$14,500\text{ km}$"
National Waterway No. $1$ connects which two locations via the Ganga river?,Prayagraj and Haldia
Which river stretch is designated as National Waterway No. $2$?,The Brahmaputra river between Sadiya and Dhubri
What percentage of India's trade volume is moved by sea?,$95$ per cent
Which port was the first developed after Independence to replace the loss of Karachi port?,Deendayal Port (Kandla)
Describe the primary characteristic of Mumbai port.,It is the biggest port with a spacious natural and well-sheltered harbour.
"Which port is the premier iron ore exporting port of India, accounting for about $50\%$ of such exports?",Mormugao port (Goa)
Identify the extreme south-western port of India located at the entrance of a lagoon.,Cochin
Which port is described as the deepest landlocked and well-protected port on the east coast?,Vishakhapatnam
Which inland riverine port serves the rich hinterland of the Ganga-Brahmaputra basin?,Kolkata (Shyama Prasad Mookerjee) Port
What is the purpose of the Haldia port?,To serve as a subsidiary port and relieve pressure on the Kolkata port.
Why is air travel specifically preferred in the north-eastern states of India?,"To overcome challenges like big rivers, dissected relief, dense forests, and frequent floods."
What is the central idea of the UDAN (Ude Desh ka Aam Nagrik) scheme?,To encourage airlines to operate on regional routes and make flying affordable for common citizens.
Which company provides helicopter services to the Oil and Natural Gas Corporation for off-shore operations?,Pawanhans Helicopters Ltd.
"In the Indian postal network, which items are considered 'first-class mail'?",Cards and envelopes
How many 'mail channels' were introduced to facilitate quick delivery in large Indian towns and cities?,Six
What is the focus of the Digital India programme?,Preparing India for a knowledge-based transformation by making technology central to enabling change.
Define 'International Trade'.,The exchange of goods between two countries.
Why is international trade considered an 'economic barometer' for a country?,Its advancement is an index to the country's economic prosperity.
What constitutes a 'favourable balance of trade'?,When the value of exports exceeds the value of imports.
Provide three examples of commodities exported from India.,"Gems and jewellery, chemicals and related products, and agriculture and allied products."
In which sector has India emerged as a 'software giant' at the international level?,Information Technology
Name one government scheme started to boost the tourism industry in India.,"Swadesh Darshan $2.0$ (or PRASHAD, Paryatan Mitra)."
What are the two major components of a country's balance of trade?,Export and import.
Which port specialises in the export of iron ore and is located in Odisha?,Paradwip port
What is the difference between personal communication and mass communication?,"Personal communication is between individuals, while mass communication reaches a large audience through TV, radio, or press."
Which language has the largest number of newspapers published in India?,Hindi
