Approximately what fraction of India's population is engaged in agricultural activities?,Two-thirds.
Why is agriculture considered a 'primary activity'?,It produces most of the food consumed and raw materials for industries.
List three examples of agricultural products exported by India as mentioned in the text.,"Tea, coffee, and spices."
Which factors have significantly changed cultivation methods in India over the years?,"Physical environment, technological know-how, and socio-cultural practices."
Primitive subsistence farming is typically practiced on _____ patches of land.,small
List three primitive tools commonly used in subsistence agriculture.,"Hoe, dao, and digging sticks."
On which three natural factors does primitive subsistence farming primarily depend?,"Monsoon, natural soil fertility, and environmental suitability."
What is the common name for 'slash and burn' agriculture in the North-eastern states of India?,Jhumming
How does 'slash and burn' agriculture allow the soil to regain fertility?,Through natural processes while the land is left fallow.
Why is land productivity low in primitive subsistence farming?,Farmers do not use fertilizers or modern inputs.
In which Indian state is 'slash and burn' agriculture known as 'Pamlou'?,Manipur
What is 'slash and burn' agriculture called in the Andaman and Nicobar Islands?,Dipa
The 'slash and burn' agriculture known as 'Milpa' is practiced in which regions?,Mexico and Central America.
Term: 'Ladang',Definition: The name for 'slash and burn' agriculture in Indonesia.
What is the name for primitive cultivation in Brazil?,Roca
"In Vietnam, 'slash and burn' agriculture is known as _____.",Ray
What are the two names for primitive cultivation used in Madhya Pradesh?,Bewar or Dahiya.
Primitive cultivation in Andhra Pradesh is called 'Podu' or _____.,Penda
What is the name for primitive farming in the Western Ghats?,Kumari
"In Jharkhand, 'slash and burn' agriculture is referred to as _____.",Kuruwa
Where is intensive subsistence farming typically practiced?,Areas of high population pressure on land.
What are the two primary requirements for obtaining higher production in intensive subsistence farming?,High doses of biochemical inputs and irrigation.
Which legal factor has led to uneconomical land-holding sizes in India?,The right of inheritance leading to land division.
What is the main objective of using modern inputs in commercial farming?,To obtain higher productivity.
Provide an example of a crop that is commercial in one state but a subsistence crop in another.,Rice (commercial in Punjab/Haryana; subsistence in Odisha).
How is plantation farming defined in terms of crop diversity?,A single crop is grown on a large area.
Plantations utilize _____ intensive inputs and migrant laborers.,capital
List four important plantation crops grown in India.,"Tea, coffee, rubber, and sugarcane."
Which state is a major producer of coffee in India?,Karnataka
What are the three main cropping seasons in India?,"Rabi, kharif, and zaid."
Rabi crops are sown in _____ and harvested in _____.,winter (October-December); summer (April-June)
List three important rabi crops.,"Wheat, barley, and peas."
Which meteorological phenomenon helps in the success of rabi crops in North India?,Western temperate cyclones providing winter precipitation.
Kharif crops are sown with the _____ and harvested in _____.,onset of monsoon; September-October
List three important kharif crops.,"Paddy, maize, and cotton."
"What are the three varieties of paddy grown in a year in Assam, West Bengal, and Odisha?","Aus, Aman, and Boro."
The short cropping season during the summer months is known as _____.,Zaid
List two crops produced during the Zaid season.,Watermelon and muskmelon.
How long does sugarcane approximately take to grow?,Almost a year.
India is the _____ largest producer of rice in the world.,second
What is the minimum annual rainfall required for rice cultivation without irrigation?,Above $100$ cm.
Rice requires temperatures above _____ and high humidity.,$25^{\circ}C$
Where are the two main wheat-growing zones in India?,Ganga-Satluj plains and the black soil region of the Deccan.
Wheat requires an annual rainfall of _____ to _____ cm.,$50$; $75$
Which three crops are collectively known as the important millets of India?,"Jowar, bajra, and ragi."
"Which millet is exceptionally rich in iron, calcium, and micro-nutrients?",Ragi
What is the third most important food crop in India with respect to area and production?,Jowar
Bajra grows well on _____ soils and shallow black soil.,sandy
In which state is maize grown during the rabi season?,Bihar
What is the ideal temperature range for maize cultivation?,$21^{\circ}C$ to $27^{\circ}C$.
India is the largest producer and _____ of pulses in the world.,consumer
Why are pulses often grown in rotation with other crops?,They are leguminous and help restore soil fertility by fixing nitrogen.
Which pulse crop does not help in nitrogen fixation?,Arhar (tur).
India ranks _____ in the world for sugarcane production after Brazil.,second
List three products derived from sugarcane.,"Sugar, gur (jaggery), and molasses."
Approximately what percentage of India's total cropped area is covered by oil seeds?,$12$ per cent.
"In 2020, India was the second largest producer of _____ in the world.",groundnut
Which oil seed is a rabi crop in South India but a kharif crop in North India?,Sesamum (til).
Which state was the largest producer of groundnut in 2019–20?,Gujarat
Castor seed is unique because it is grown as both _____ and _____ crops.,rabi; kharif
Who initially introduced tea cultivation to India?,The British.
What type of soil is required for tea bushes to grow well?,"Deep, fertile, well-drained soil rich in humus."
The Arabica variety of coffee was initially brought to India from _____.,Yemen
In which hills was coffee cultivation initially introduced in India?,Baba Budan Hills.
India ranks second in the world in fruit and vegetable production after which country?,China
"Which Indian state is famous for its oranges, specifically from the Nagpur region?",Maharashtra
Rubber is primarily an _____ crop but can grow in tropical areas under special conditions.,equatorial
Rubber requires a rainfall of more than _____ cm and temperatures above _____.,$200$; $25^{\circ}C$
Which crop is known as the 'golden fibre'?,Jute
Jute grows best on _____ soils in the flood plains.,well-drained fertile
Which Indian state is a major producer of jute?,West Bengal
List three uses of jute as mentioned in the text.,"Gunny bags, ropes, and carpets."
Cotton is a major raw material for the _____ industry.,cotton textile
Cotton grows well in the drier parts of the _____ soil tract of the Deccan plateau.,black
How many frost-free days are required for the growth of cotton?,$210$ days.
