"In India, the growth of modern nationalism is intimately connected to which movement?",The anti-colonial movement.
Why did many different social groups in India find a shared bond under colonialism?,They shared a sense of being oppressed.
Term: Satyagraha,A novel method of mass agitation based on the power of truth and non-violence.
When did Mahatma Gandhi return to India from South Africa?,January 1915.
How did the First World War affect the economic situation in India?,"It led to huge increases in defense expenditure, taxes, and prices."
Cloze: The process by which the colonial state forced people to join the army is called _____.,forced recruitment
"According to the census of 1921, how many people perished due to famines and the influenza epidemic?",12 to 13 million.
Concept: Non-violence (Dharma),Definition: The supreme moral duty that Mahatma Gandhi believed could unite all Indians.
Where did Mahatma Gandhi organize his first satyagraha movement in 1917 to support peasants?,"Champaran, Bihar."
What was the specific cause of the 1917 satyagraha in the Kheda district of Gujarat?,Peasants were unable to pay revenue due to crop failure and a plague epidemic.
Which group did Mahatma Gandhi support in the 1918 Ahmedabad satyagraha?,Cotton mill workers.
What powers did the Rowlatt Act (1919) give the British government?,The power to repress political activities and detain prisoners without trial for two years.
On what date did the Rowlatt satyagraha begin with a nationwide hartal?,6 April 1919.
Who was the British officer in command during the Jallianwalla Bagh incident?,General Dyer.
What was General Dyer's stated objective for the Jallianwalla Bagh massacre?,To 'produce a moral effect' and create a feeling of terror and awe in satyagrahis.
Which movement was launched to bring Hindus and Muslims closer together in a unified national struggle?,The Khilafat movement.
Term: Khalifa,The spiritual head of the Islamic world (the Ottoman emperor).
Who were the two main Muslim leaders of the Khilafat Committee formed in March 1919?,Muhammad Ali and Shaukat Ali.
In which book did Mahatma Gandhi declare that British rule survived only because of Indian cooperation?,Hind Swaraj (1909).
At which Congress session was the Non-Cooperation programme finally adopted in December 1920?,The Nagpur session.
Cloze: A form of demonstration by which people block the entrance to a shop or factory is called _____.,picketing
What dramatic economic effect did the Non-Cooperation Movement have on foreign cloth imports by 1922?,The value of imports dropped from Rs 102 crore to Rs 57 crore.
Why did the Non-Cooperation Movement in cities gradually slow down regarding clothing?,Poor people could not afford the more expensive khadi cloth.
Who led the peasant movement in Awadh against talukdars and landlords?,Baba Ramchandra.
Cloze: Labour that villagers were forced to contribute without any payment is known as _____.,begar
What were the primary demands of the Awadh peasant movement?,"Reduction of revenue, abolition of begar, and social boycott of oppressive landlords."
Which organization was set up in October 1920 to address peasant grievances in Awadh?,Oudh Kisan Sabha.
Who led the militant guerrilla movement in the Gudem Hills of Andhra Pradesh?,Alluri Sitaram Raju.
What was Alluri Sitaram Raju's unconventional view on liberating India?,"He believed India could only be liberated by the use of force, not non-violence."
Which 1859 Act prevented plantation workers in Assam from leaving tea gardens without permission?,The Inland Emigration Act.
What 1922 incident led Mahatma Gandhi to call a halt to the Non-Cooperation Movement?,The violent clash at Chauri Chaura in Gorakhpur.
Which two leaders formed the Swaraj Party within the Congress to argue for council politics?,C. R. Das and Motilal Nehru.
Why was the Statutory Commission under Sir John Simon opposed by all Indian parties?,It did not have a single Indian member.
"In December 1929, the Lahore Congress formalized the demand for what?",Purna Swaraj (Full Independence).
What date was chosen to be celebrated as 'Independence Day' in 1930 to pledge for complete independence?,26 January.
Why did Mahatma Gandhi choose salt as a symbol for the Civil Disobedience Movement?,It was an essential item consumed by both the rich and the poor.
The Salt March covered 240 miles from Sabarmati to which coastal town?,Dandi.
How many trusted volunteers accompanied Mahatma Gandhi on the Salt March?,78.
What act marked the beginning of the Civil Disobedience Movement on 6 April 1930?,Gandhi ceremonially manufactured salt by boiling sea water at Dandi.
How did the Civil Disobedience Movement differ from the Non-Cooperation Movement in its instructions to people?,People were asked not only to refuse cooperation but also to break colonial laws.
Who was the 'Frontier Gandhi' arrested in Peshawar in April 1930?,Abdul Ghaffar Khan.
Name the 1931 agreement where Gandhi consented to a Round Table Conference and the government released political prisoners.,The Gandhi-Irwin Pact.
Why did rich peasant communities like the Patidars and Jats participate in the Civil Disobedience Movement?,They were hard hit by the trade depression and sought a reduction in government revenue.
Which organization was formed in 1927 to organize business interests in India?,The Federation of the Indian Chamber of Commerce and Industries (FICCI).
Why did industrial workers generally stay away from the Civil Disobedience Movement?,The Congress was seen as being too close to the industrialists.
What role did women play in the Civil Disobedience Movement?,"They participated in protest marches, manufactured salt, and picketed shops."
Term: Harijan,"The name Mahatma Gandhi gave to 'untouchables', meaning 'children of God'."
Which leader organized Dalits into the Depressed Classes Association in 1930?,Dr. B.R. Ambedkar.
What was the outcome of the 1932 Poona Pact?,"Reserved seats were given to Depressed Classes in legislative councils, to be voted by the general electorate."
Why were some Muslim political organizations lukewarm toward the Civil Disobedience Movement?,They feared their minority culture would be submerged under a Hindu majority.
Who first created the visual image of Bharat Mata in the twentieth century?,Bankim Chandra Chattopadhyay.
Which novel by Bankim Chandra Chattopadhyay included the hymn 'Vande Mataram'?,Anandmath.
How did Abanindranath Tagore's 1905 painting portray Bharat Mata?,"As an ascetic figure: calm, composed, divine, and spiritual."
What was the significance of Gandhi's 1921 Swaraj flag design?,It was a tricolour with a spinning wheel representing self-help.
Term: HSRA,"Hindustan Socialist Republican Army, founded in 1928 to struggle against British power through revolution."
"Which 1928 satyagraha in Gujarat, led by Vallabhbhai Patel, was a success against land revenue enhancement?",The Bardoli Satyagraha.
Which prominent leader died after being assaulted by British police during a protest against the Simon Commission?,Lala Lajpat Rai.
