What are the three essential dimensions of food security?,"Availability, accessibility, and affordability."
Dimension: Availability of food,"Definition: Food production within the country, food imports, and stocks stored in government granaries."
Dimension: Accessibility of food,Definition: Food is within reach of every person without barriers.
Dimension: Affordability of food,"Definition: Individuals have enough money to buy sufficient, safe, and nutritious food to meet dietary needs."
What are the three conditions that must be met to ensure food security in a country?,"Enough food is available, everyone has the capacity to buy it, and there are no barriers to access."
Which section of society is most vulnerable to food insecurity when production or distribution problems occur?,Poor households.
How does a natural calamity like drought affect food prices?,"It decreases total production, creating a shortage that drives prices up."
The condition of widespread deaths caused by starvation and epidemics is known as a _____.,Famine
Identify the most devastating famine in Indian history.,The Famine of Bengal in $1943$.
How many people died during the Bengal Famine of $1943$?,$30$ lakh people.
Which specific occupational groups were most affected by the rising price of rice during the Bengal Famine?,"Agricultural laborers, fishermen, transport workers, and casual laborers."
What new dimension did Amartya Sen add to the understanding of food security?,"Access to food through 'entitlements' (production, market exchange, and state provision)."
The $1995$ World Food Summit declared that physical and economic access to food is essential for an active and healthy life at which levels?,"Individual, household, regional, national, and global."
How did the Covid-$19$ pandemic adversely impact food security?,Restrictions on movement and services disrupted economic activity and food availability.
"In urban areas, which groups are primarily considered food insecure?","Workers in ill-paid occupations, the casual labor market, and those in seasonal activities."
Which social groups in India are more prone to food insecurity due to poor land-base or low productivity?,"Scheduled Castes (SCs), Scheduled Tribes (STs), and some sections of the OBCs."
"According to the National Health and Family Survey ($1998-99$), how many women and children in India were estimated to be food insecure?",Approximately $11$ crore.
List four Indian states that account for the largest number of food insecure people.,"Uttar Pradesh, Bihar, Jharkhand, and Orissa."
What are the two primary dimensions of hunger?,Chronic and seasonal.
Concept: Chronic Hunger,Definition: A consequence of diets persistently inadequate in terms of quantity and/or quality due to low income.
Concept: Seasonal Hunger,"Definition: Hunger related to cycles of food growing and harvesting, prevalent among agricultural and casual laborers."
Why is seasonal hunger common for casual construction laborers in urban areas?,There is significantly less work available during the rainy season.
What was the primary agricultural goal of Indian policy-makers after Independence?,Self-sufficiency in foodgrains.
Which strategy in the late $1960$s led to impressive strides in wheat and rice production in India?,The Green Revolution.
Which Indian Prime Minister released a special stamp entitled 'Wheat Revolution' in July $1968$?,Indira Gandhi.
Which two states achieved the highest rate of growth in foodgrain production following the Green Revolution?,Uttar Pradesh and Madhya Pradesh.
