What was the name of the international body formed in the 1870s to coordinate socialist efforts across Europe?,The Second International
Which German political party worked closely with workers' associations to win parliamentary seats by 1905?,The Social Democratic Party (SPD)
In which two countries were the Labour Party and the Socialist Party formed by 1905?,Britain and France
Which monk became a symbol of the unpopularity of the Russian autocracy due to his influence over Tsarina Alexandra?,Rasputin
On which day did the February Revolution begin with a lockout at a factory and sympathetic strikes in Petrograd?,22 February 1917
What was the name of the peace treaty signed between the Bolsheviks and Germany in March 1918?,The Treaty of Brest Litovsk
What group in 19th-century Europe wanted a nation that tolerated all religions and protected individual rights against the government?,Liberals
What was the liberal stance on universal adult franchise?,"They did not believe in it, arguing instead that only men of property should have the right to vote."
Which political group wanted a government based on the majority of a country's population and supported the women's suffragette movement?,Radicals
How did radicals differ from liberals regarding the privileges of the wealthy?,"Radicals opposed the privileges of great landowners and wealthy factory owners, whereas liberals often were property owners themselves."
What was the core belief of conservatives regarding the process of societal change in the 19th century?,They believed change was inevitable but should be brought about through a slow process that respected the past.
Term: Suffragette movement,Definition: A political movement aimed at giving women the right to vote.
What were the typical working conditions brought about by early industrialization in Europe?,"Workers faced long hours, poor wages, and frequent unemployment during periods of low demand."
Why did liberals and radicals often search for solutions to housing and sanitation problems in growing towns?,They were often property owners and employers who believed a healthy and educated workforce would benefit the economy.
Which Italian nationalist conspired after 1815 to create a nation where all citizens had equal rights?,Giuseppe Mazzini
What did socialists consider to be the root of all social ills in the mid-19th century?,Private property
"What cooperative community did Robert Owen seek to build in Indiana, USA?",New Harmony
How did Louis Blanc's vision for cooperatives differ from Robert Owen's?,"Blanc demanded that the government encourage and replace capitalist enterprises with cooperatives, rather than relying solely on individual initiative."
"According to Karl Marx, who produced the profit accumulated by capitalists in an industrial society?",The workers
What did Karl Marx believe was the only way for workers to free themselves from capitalist exploitation?,They had to construct a radically socialist society where all property was socially controlled.
Who was the ruler of the Russian Empire in 1914?,Tsar Nicholas II
What was the majority religion in the Russian Empire at the start of the 20th century?,Russian Orthodox Christianity
What percentage of the Russian Empire's population earned their living from agriculture in the early 20th century?,About 85 per cent
Name the two most prominent industrial areas in Russia during the late 19th and early 20th centuries.,St Petersburg and Moscow
"Why did coal, iron, and steel production increase rapidly in Russia during the 1890s?",The railway network was extended and foreign investment in industry increased.
"Which group of workers in St Petersburg considered themselves the ""aristocrats"" of the labor force due to their high skill level?",Metalworkers
What was the status of women in the Russian factory labor force by 1914 regarding their wages compared to men?,They made up 31 per cent of the workforce but were paid between half and three-quarters of a man's wage.
Term: Mir,Definition: The Russian peasant commune that periodically pooled and redistributed land according to family needs.
How did Russian peasants differ from French peasants in their attitude toward the nobility?,Russian peasants had little respect for the nobility and often refused to pay rent or murdered landlords to get their land.
Which political party was founded in 1898 by Russian socialists who respected Karl Marx's ideas?,The Russian Social Democratic Workers Party
What was the primary demand of the Socialist Revolutionary Party formed in 1900?,They demanded that land belonging to nobles be transferred to peasants.
Why did Vladimir Lenin disagree with the Socialist Revolutionaries' view of peasants as a united revolutionary force?,"He argued that peasants were divided into poor laborers and wealthy capitalists, making them an inconsistent group for a socialist movement."
"What were the two factions of the Russian Social Democratic Workers Party, and how did they differ in their view of party membership?","The Bolsheviks wanted a disciplined, restricted membership, while the Mensheviks believed the party should be open to all."
"Who were the ""jadidists"" within the Russian Empire?",Muslim reformers who wanted modernized Islam to lead their societies.
Term: Real wage,Definition: A measure of wages that reflects the actual quantity of goods they can purchase.
"What 1905 event involved a procession of workers being attacked by police at the Winter Palace, leading to over 100 deaths?",Bloody Sunday
What were the three primary demands of the St Petersburg workers during the 1905 strike?,"A reduction of the working day to eight hours, an increase in wages, and improved working conditions."
What elected consultative parliament did the Tsar allow to be created following the 1905 Revolution?,The Duma
How did the Tsar ensure the third Duma was less likely to challenge his authority?,"He changed the voting laws and packed it with conservative politicians, keeping out liberals and revolutionaries."
Which three countries formed the Central Powers during the First World War?,"Germany, Austria, and Turkey"
Why was the city of St Petersburg renamed to Petrograd during the First World War?,To remove the German association of the original name due to high anti-German sentiment.
"What was the impact of the Russian army's ""scorched earth"" retreat during WWI on the civilian population?",The destruction of crops and buildings led to over 3 million refugees within Russia.
Why did industrial equipment disintegrate more rapidly in Russia than elsewhere during the First World War?,Russia was cut off from suppliers of industrial goods by German control of the Baltic Sea.
What was the immediate cause of the bread riots in Russian cities by the winter of 1916?,"Large supplies of grain were diverted to feed the army, making bread and flour scarce for urban citizens."
"Which group of people led many of the strikes in Petrograd on 23 February 1917, now celebrated as International Women's Day?",Women factory workers
What happened to the Russian monarchy on 2 March 1917?,Tsar Nicholas II abdicated his throne following the advice of military commanders.
"What were the three specific demands known as Lenin's ""April Theses""?","Bringing the war to a close, transferring land to the peasants, and nationalizing the banks."
Why did Lenin propose renaming the Bolshevik Party to the Communist Party in April 1917?,To indicate the party's new radical aims and distinguish it from other socialist groups.
"What were the ""July Days"" in 1917 Petrograd?",A period of popular demonstrations staged by Bolsheviks that were sternly repressed by the Provisional Government.
Who led the Military Revolutionary Committee appointed by the Petrograd Soviet to organize the October Revolution?,Leon Trotskii
What was the outcome of the Bolshevik uprising in Petrograd on 24 October 1917?,"The Bolsheviks seized government offices, arrested ministers, and took control of the city by nightfall."
How did the Russian calendar system change in February 1918?,"The country switched from the Julian calendar to the Gregorian calendar, which was 13 days ahead."
What major economic change did the Bolsheviks implement in November 1917 regarding the financial sector?,"They nationalized most banks, placing them under government ownership and management."
Term: Budeonovka,Definition: The specific Soviet hat chosen for the new army and official uniforms in 1918.
Why did Lenin dismiss the Constituent Assembly in January 1918?,"The Assembly rejected Bolshevik measures, and Lenin believed the Congress of Soviets was a more democratic representative body."
"Which group in the Russian Civil War was known as the ""Greens""?",The Socialist Revolutionaries
"Who were the ""Whites"" in the context of the Russian Civil War?",The pro-Tsarist forces who supported the autocracy and opposed the Bolsheviks.
"Which foreign nations sent troops to support the ""Whites"" during the Russian Civil War out of fear of socialism?","France, USA, Britain, and Japan"
"In the context of the Soviet Union, what does the term ""autonomy"" refer to for non-Russian nationalities?",The right given to these nationalities to govern themselves within the Soviet state.
What Bolshevik policy regarding traditional lifestyles was particularly unpopular in Central Asia?,The harsh discouragement of nomadism.
When was the Soviet Union (USSR) officially created from the former Russian Empire?,December 1922
"What was the role of the ""Cheka"" in the early Bolshevik state?",It was the secret police used to punish those who criticized the Bolsheviks.
"According to source material, why were many Bolshevik supporters in the army deserting during the Civil War?",They were mostly peasants who wished to go home for the promised land redistribution.
How did the Bolsheviks change the ownership of large houses in cities after the October Revolution?,They enforced the partition of large houses according to family size and requirements.
"What was the main reason the ""Whites"" lost popular support during the Russian Civil War?","They took harsh steps against peasants who had seized land, which alienated the rural population."
