What does the term 'People as Resource' signify regarding a country's population?,It refers to the population's existing productive skills and abilities.
Population becomes 'human capital' when investments are made in which three areas?,"Education, training, and medical care."
How is 'human capital' defined in terms of its components?,It is the stock of skill and productive knowledge embodied in people.
The process of further developing an existing human resource through education and health is called _____.,Human capital formation
How does investment in human capital yield a return?,In the form of higher incomes due to increased productivity.
Which historical event in India demonstrates how improved production technologies can rapidly increase land productivity?,The Green Revolution
Which Indian industrial revolution highlights that human capital can be more important than material plant and machinery?,The IT Revolution
Why is human resource considered superior to other resources like land and physical capital?,"Human resource can make use of land and capital, whereas they cannot become useful on their own."
"In the 'Story of Sakal', what specific investment enabled him to design a sale-increasing software?",A vocational course in computers.
How did the health status of Vilas impact his economic potential compared to Sakal?,"Vilas had arthritis and lacked the means for medical care, forcing him into low-income unskilled labor."
How does education add to the 'quality of labor'?,"It enhances total productivity, which adds to the growth of the economy."
"A _____ cycle is created when educated parents invest heavily in their child's education, nutrition, and hygiene.",Virtuous
How did Japan become a rich/developed country despite having no natural resources?,"They invested heavily in human resources, particularly in education and health."
Economic activities are classified into which three main sectors?,"Primary, secondary, and tertiary sectors."
Identify four activities that belong to the primary sector.,"Agriculture, forestry, animal husbandry, and fishing."
Which specific economic sector includes 'manufacturing'?,Secondary sector
Name three services that are included in the tertiary sector.,"Banking, tourism, and insurance."
Activities that involve remuneration for pay or profit are known as _____ activities.,Market
What is the primary characteristic of 'non-market activities'?,They are performed for self-consumption.
Why is the household work performed by women often not recognized in the National Income?,It is not paid for and remains outside the labor market.
What are the two major determinants of an individual's earning in the market?,Education and skill.
"The 'quality of population' depends on literacy rate, skill formation, and _____.",Health (indicated by life expectancy)
How does the education of its citizens contribute to a society's growth?,"It enhances national income, cultural richness, and the efficiency of governance."
What are the 'Navodaya Vidyalayas'?,Pace-setting government schools established in each district.
The plan outlay on education in India increased from $Rs\ 151$ crore in the first plan to _____ in $2020-21$.,"$Rs\ 99,300$ crore"
What was the estimated percentage of GDP spent on education in India in $2020-21$?,$2.8\%$
"By $2018$, what had India's literacy rate increased to from $18\%$ in $1951$?",$85\%$
What is the literacy gap between males and females in India?,Literacy among males is nearly $16.1\%$ higher than females.
"As per the $2011$ census, which state had the lowest literacy rate at $62\%$?",Bihar
What is the primary goal of the 'Samagra Shiksha' scheme?,Improving school effectiveness and ensuring inclusive and equitable quality education.
Why was the 'Mid-day meal scheme' implemented in Indian schools?,"To encourage attendance, retention, and improve the nutritional status of children."
What was the Gross Enrolment Ratio (GER) in Indian higher education for $2020-21$?,$27\%$
Concept: Infant Mortality Rate (IMR),Definition: The death of a child below one year of age.
Concept: Birth Rate,"Definition: The number of babies born for every $1,000$ people during a particular period."
"By $2021$, what was the life expectancy in India?",$67.2$ years
What was the Crude Death Rate in India in $2020$?,"$6$ deaths per $1,000$ people."
In which four Indian states are the maximum number of medical colleges concentrated?,"Andhra Pradesh, Karnataka, Maharashtra, and Tamil Nadu."
How is 'unemployment' defined in economic terms?,When people willing to work at going wages cannot find jobs.
What age group is included in India's workforce population?,$15$ to $59$ years.
Which two types of unemployment are prevalent in rural India?,Seasonal and disguised unemployment.
When does 'seasonal unemployment' typically occur?,When people dependent on agriculture cannot find work during certain months of the year.
Describe the phenomenon of 'disguised unemployment'.,"When more people are working on a plot than the required number, making their extra contribution zero."
Which type of unemployment is a common phenomenon in urban areas of India?,Educated unemployment.
What is the 'paradoxical manpower situation' in India?,A surplus of manpower in certain categories coexisting with a shortage in others.
How does unemployment affect the 'economic overload' of a society?,It increases the dependence of the unemployed on the working population.
Why is an increase in unemployment considered an indicator of a depressed economy?,It wastes resources that could have been gainfully employed and turns assets into liabilities.
What concept describes the sharing of work and produce in rural families to reduce the hardship of unemployment?,Work-sharing in the primary sector.
Which sector of the Indian economy is currently the most labour-absorbing?,Agriculture
What is the most labour-absorbing sub-sector within the secondary sector?,Small scale manufacturing.
Name two emerging service sectors in the tertiary sector mentioned in the text.,Biotechnology and Information Technology.
"In the 'Story of a Village', what was the impact of the agro-engineer's improved plough design?",It increased the yield of wheat and created a new job category.
How did the introduction of a tailor in the village story lead to prosperity?,"It saved farmers' time and allowed them to spend more time in the fields, increasing yields."
What happens to 'surplus labour' from the agricultural sector as an economy develops?,They tend to migrate to cities or move into the secondary and tertiary sectors.
"In the tertiary sector, what is the role of activities like transport and communication?",They result in the production of services that add value to the national income.
Why are women often paid less than men in the unorganized sector?,Due to lower levels of education and skill formation compared to their male counterparts.
What facilities are typically absent for women working in the unorganized sector?,"Maternity leave, childcare, and social security systems."
Cloze: Human capital is superior to land and physical capital because it can make use of _____.,Land and capital
"In India, the primary school system expanded to over _____ lakh by $2019-20$.","$7,78,842$"
"According to the $2021$ National Health Profile, how many government hospital beds were available in $2021$?","$8,49,206$"
What is the relationship between unemployment and a family's health status?,Unemployment leads to a general decline in health status and rising school withdrawal.
"Term: Market Activities. Definition: Production of goods or services, including government service, performed for pay or profit.",Market Activities
Which health indicator dropped to $28$ in $2020$ from $147$ in $1951$?,Infant Mortality Rate (IMR)
"In the story of Sakal, why was his uncle Shyam sitting idle?",He had passed matriculation but had no job.
What specific educational provision was made to help girls in India?,Special emphasis on elementary education for girls.
How does 'vocationalisation' help high school students?,It equips them with occupations related to specific knowledge and skills.
