How do geologists define a 'mineral'?,"A homogenous, naturally occurring substance with a definable internal structure."
Which mineral is identified as the hardest naturally occurring substance?,Diamond
Which mineral is identified as the softest naturally occurring substance?,Talc
"In the context of toothpaste, which minerals act as abrasives for cleaning?","Silica, limestone, aluminium oxide, and various phosphate minerals."
The mineral _____ is the source of fluoride used in toothpaste to reduce cavities.,fluorite
Which specific mineral oxide is used to make most toothpastes white?,Titanium oxide
"Titanium oxide, used for whitening toothpaste, is derived from minerals such as rutile, ilmenite, and _____.",anatase
What mineral provides the 'sparkle' found in some toothpastes?,Mica
The toothbrush and tube for toothpaste are manufactured from plastics derived from _____.,petroleum
Minerals represent approximately what percentage of the total human intake of nutrients?,$0.3\%$
Why is the $0.3\%$ intake of minerals critical for life processes?,"Without them, the body cannot utilize the other $99.7\%$ of foodstuffs."
"A rock such as _____ consists of only a single mineral, unlike the majority of rocks which are combinations of several minerals.",limestone
"The specific physical and chemical conditions under which a mineral forms determine its color, hardness, lustre, density, and _____.",crystal forms
What is the primary interest of a geographer when studying minerals?,The distribution of resources and associated economic activities within the earth's crust.
What aspects of minerals are of primary interest to a geologist?,"Their formation, age, and physical and chemical composition."
What term is used to describe an accumulation of any mineral mixed with other elements?,Ore
Under what condition is the extraction of a mineral from an ore considered 'commercially viable'?,When the mineral content is present in sufficient concentration.
"In igneous and metamorphic rocks, smaller occurrences of minerals in cracks or crevices are called _____.",veins
Large mineral occurrences found in the joints or faults of igneous and metamorphic rocks are known as _____.,lodes
Name two major metallic minerals typically obtained from veins and lodes.,Tin and copper (also zinc and lead).
Minerals in sedimentary rocks often occur in horizontal _____ or layers.,beds
Which energy mineral is concentrated in sedimentary rocks as a result of long periods under great heat and pressure?,Coal
"Minerals like gypsum, potash salt, and sodium salt are formed in arid regions through the process of _____.",evaporation
How is bauxite formed through the decomposition of surface rocks?,"Soluble constituents are removed, leaving a residual mass of weathered material containing ores."
Alluvial deposits found in the sands of valley floors and the base of hills are called _____ deposits.,placer
"Why are minerals like gold, silver, and platinum commonly found in placer deposits?",They are not corroded by water.
Which minerals are largely derived from ocean waters?,"Common salt, magnesium, and bromine."
Ocean beds are identified as being rich in which specific mineral nodules?,Manganese nodules
The mining practice in Meghalaya where family members dig long narrow tunnels to extract coal is called _____ mining.,rat-hole
Metallic minerals that contain iron are classified as _____ minerals.,ferrous
What percentage of the total value of metallic mineral production in India is accounted for by ferrous minerals?,Three-fourths
"Which type of iron ore is considered the finest, with an iron content reaching up to $70\%$?",Magnetite
Why is magnetite ore particularly valuable to the electrical industry?,It possesses excellent magnetic qualities.
"Which iron ore is the most important for industrial use in terms of quantity, despite having an iron content of $50-60\%$?",Hematite
"In 2018–19, $97\%$ of India's iron ore production came from Odisha, Chhattisgarh, Karnataka, and _____.",Jharkhand
Iron ore from the Durg-Bastar-Chandrapur belt is exported to Japan and South Korea through which port?,Vishakhapatnam
"What does the word 'Kudre' mean in Kannada, referring to the shape of a peak in the Western Ghats?",Horse
How is iron ore from the Kudremukh mines transported to the port near Mangaluru?,As slurry through a pipeline.
Approximately how much manganese is required to manufacture one tonne of steel?,$10$ kg
"Aside from steel manufacturing, what are two other uses for manganese?","Manufacturing bleaching powder, insecticides, and paints."
"Which Indian state was the largest producer of manganese in 2018–19, contributing $33\%$ of the total?",Madhya Pradesh
"Copper is primarily used in the electrical and electronics industries because it is malleable, _____, and a good conductor.",ductile
Identify the three leading copper-producing regions in India.,"Balaghat mines (MP), Khetri mines (Rajasthan), and Singhbhum district (Jharkhand)."
What is the name of the clay-like substance from which alumina and later aluminium are obtained?,Bauxite
Aluminum is valued because it combines the strength of iron with the property of extreme _____.,lightness
Which state was the largest bauxite producer in India in 2018–19?,Odisha
Which mineral is composed of a series of plates or leaves that easily split into extremely thin sheets?,Mica
Why is mica considered indispensable for the electric and electronic industries?,"Due to its di-electric strength, low power loss factor, and insulating properties."
The leading producer of mica in India is the _____ belt of Jharkhand.,Koderma Gaya – Hazaribagh
Limestone is found in association with rocks composed of calcium carbonates or calcium and _____ carbonates.,magnesium
Limestone serves as the basic raw material for which major industry?,Cement industry
What is the function of limestone in the production of iron?,It is essential for smelting iron ore in the blast furnace.
What health condition are miners particularly vulnerable to due to the inhalation of dust and noxious fumes?,Pulmonary diseases
Dumping of waste and slurry from mining activities leads to the degradation of land and the pollution of _____.,streams and rivers
Why is mining sometimes referred to as a 'killer industry'?,"Due to hazards like collapsing roofs, inundation, fires, and severe health/environmental impacts."
Workable mineral deposits represent what fraction of the earth's crust?,One per cent ($1\%$).
Why is the conservation of mineral resources necessary despite their industrial importance?,"They are finite, non-renewable, and have extremely slow geological rates of replenishment."
