"According to the text, what three activities contributed to the long history of making a global world before the modern era?","Trade, migration of people in search of work, and the movement of capital."
"As early as $3000$ BCE, which two regions were linked by an active coastal trade?",The Indus valley civilizations and present-day West Asia.
What were 'cowries' and where did they originate before being used as currency in China and East Africa?,They were seashells from the Maldives used as a form of currency.
By which century had the long-distance spread of disease-carrying germs become an 'unmistakable link' in global history?,The thirteenth century.
The name 'silk routes' highlights the historical importance of West-bound cargoes of which specific product?,Chinese silk.
Which precious metals typically flowed from Europe to Asia in exchange for textiles and spices along the silk routes?,Gold and silver.
From which region did Buddhism emerge before spreading through the silk routes?,Eastern India.
It is believed that noodles traveled west from China to eventually become which food item?,Spaghetti.
Which group of traders is credited with introducing pasta to fifth-century Sicily?,Arab traders.
"Common foods like potatoes, maize, tomatoes, and chillies were introduced to Europe and Asia after whose accidental discovery of the Americas?",Christopher Columbus.
How did the introduction of the potato affect the lives of Europe's poor in the nineteenth century?,It allowed them to eat better and live longer.
What was the primary cause of death for hundreds of thousands in Ireland during the mid-$1840$s?,A disease that destroyed the potato crop leading to starvation.
Approximately how many people died of starvation during the Great Irish Potato Famine ($1845$ to $1849$)?,"Around $1,000,000$ people."
Precious metals from mines in which two present-day countries enhanced Europe's wealth in the sixteenth century?,Peru and Mexico.
What was the fabled South American city of gold that many seventeenth-century European expeditions sought?,El Dorado.
What biological agent was the 'most powerful weapon' of Spanish conquerors against America's original inhabitants?,Smallpox germs.
Why were smallpox germs so devastating to the original inhabitants of the Americas compared to the European conquerors?,The natives had no immunity due to their long isolation from the rest of the world.
"In the eighteenth century, which two products were primarily grown on American plantations by enslaved Africans for European markets?",Cotton and sugar.
"Until well into the eighteenth century, which two countries were considered among the world's richest and pre-eminent in Asian trade?",China and India.
What caused the center of world trade to move westwards toward Europe in the late eighteenth century?,China's retreat into isolation and the rising importance of the Americas.
"Economists identify three types of 'flows' in nineteenth-century international exchanges: trade, labour, and _____.",Capital.
"In the nineteenth century, what did the 'flow of trade' largely refer to?",Trade in goods such as cloth or wheat.
"In the context of nineteenth-century economic flows, what does the 'flow of labour' describe?",The migration of people in search of employment.
Why did the demand for food grains increase in Britain during the late eighteenth century?,"Because of population growth, the expansion of urban centers, and industrial growth."
What were the 'Corn Laws' in nineteenth-century Britain?,Laws that allowed the government to restrict the import of corn.
What was the immediate economic result of the abolition of the Corn Laws in Britain?,Food could be imported more cheaply than it could be produced within the country.
How did the abolition of the Corn Laws affect British agriculture?,"British agriculture could not compete with imports, causing vast areas of land to be left uncultivated."
Approximately how many people emigrated from Europe to America and Australia during the nineteenth century?,Nearly $50$ million people.
"Globally, how many people are estimated to have migrated across oceans and lands between $1815$ and $1914$?",Around $150$ million people.
What were the 'Canal Colonies' in west Punjab?,Semi-desert wastes transformed into fertile agricultural lands by a network of irrigation canals built by the British.
"Between $1820$ and $1914$, world trade is estimated to have multiplied by how much?",By $25$ to $40$ times.
"What percentage of world trade between $1820$ and $1914$ comprised 'primary products' like wheat, cotton, and minerals?",Nearly $60\%$.
"Until the $1870$s, why was meat considered an expensive luxury beyond the reach of the European poor?","Animals were shipped live and many died, lost weight, or fell ill during the voyage."
What technology enabled the transport of perishable foods like meat over long distances in the late nineteenth century?,Refrigerated ships.
How did the development of refrigerated ships affect the diet of the European poor?,"It lowered meat prices, allowing them to add meat, butter, and eggs to their diet."
Where did the big European powers meet in $1885$ to complete the 'carving up' of Africa?,Berlin.
Which journalist and explorer was sent to Africa to find the missionary David Livingstone?,Sir Henry Morton Stanley.
What was 'Rinderpest'?,A fast-spreading cattle plague or disease that devastated African livelihoods in the $1890$s.
How did Rinderpest arrive in Africa in the late $1880$s?,It was carried by infected cattle imported from British Asia to feed Italian soldiers in Eritrea.
What percentage of Africa's cattle was killed by the Rinderpest outbreak?,It killed $90\%$ of the cattle.
How did European colonizers use the Rinderpest outbreak to their advantage in Africa?,They monopolized the remaining cattle to force Africans into the labour market.
What were two methods used by Europeans to force Africans to work for wages despite an abundance of land?,Imposing heavy taxes and changing inheritance laws to displace peasants from land.
Term: Indentured labour,Definition: A bonded labourer under contract to work for an employer for a specific amount of time to pay off passage to a new country.
Where did most Indian indentured workers come from in the nineteenth century?,"Eastern Uttar Pradesh, Bihar, central India, and the dry districts of Tamil Nadu."
What were the three main Caribbean destinations for Indian indentured migrants?,"Trinidad, Guyana, and Surinam."
Which annual Caribbean procession was transformed into a riotous carnival called 'Hosay' by Indian indentured workers?,The Muharram procession.
Which popular music form in Trinidad and Guyana reflects the post-indenture experience of Indian migrants?,Chutney music.
In what year was the system of indentured labour migration officially abolished in India?,In $1921$.
Which Nobel Prize-winning writer is a descendant of Indian indentured labour migrants?,V.S. Naipaul.
Name two groups of Indian bankers who financed export agriculture in Central and Southeast Asia.,Shikaripuri Shroffs and Nattukottai Chettiars.
Which group of Indian traders established flourishing emporia at busy ports worldwide starting in the $1860$s?,Hyderabadi Sindhi traders.
How did the share of cotton textiles in India's total exports change between $1800$ and the $1870$s?,It declined from some $30\%$ to below $3\%$.
What replaced manufactured goods as India's primary export to Britain during the nineteenth century?,Raw materials such as cotton and indigo.
What was India's single largest export to China for a period starting in the $1820$s?,Opium.
How did Britain use its 'trade surplus' with India in the nineteenth century?,To balance its trade deficits with other countries and pay for 'home charges'.
What did British 'home charges' regarding India include?,"Private remittances, interest on external debt, and pensions of British officials."
"According to the text, which system allowed one country's deficit with another to be settled by its surplus with a third country?",The multilateral settlement system.
