"In the 1900 music book 'Dawn of the Century,' what does the winged wheel beneath the 'angel of progress' symbolize?",Time
Which two figures were used in the 1901 'Two Magicians' illustration to contrast the East/past with the West/modernity?,Aladdin and the modern mechanic
Define the term 'Orient' from a traditional Western viewpoint.,"Countries to the east of the Mediterranean, often perceived as pre-modern and mysterious."
What term do historians use to describe the phase of large-scale industrial production for international markets that preceded the factory system?,Proto-industrialization
Why were 17th-century European merchants forced to move to the countryside to expand production?,Urban trade guilds held powerful monopolies and restricted new entrants in towns.
What was the primary function of urban trade and craft guilds in early modern Europe?,"They trained craftspeople, regulated prices, and maintained control over production."
"In the proto-industrial textile chain, what was the specific role of a 'stapler'?",A person who sorts wool according to the quality of its fiber.
"In the context of textile production, what does a 'fuller' do?",A person who gathers or 'fulls' cloth by pleating.
What is the name for the process where fibers like cotton or wool are prepared before they are spun?,Carding
Why was London known as a 'finishing centre' during the proto-industrial era?,Cloth was sent there for final processing before being sold on the international market.
Which industry is considered the first symbol of the new industrial era in late 18th-century Britain?,Cotton
"Who created the cotton mill, shifting production from households to centralized factories?",Richard Arkwright
What were the primary advantages of producing cloth in a mill rather than in the countryside?,It allowed for careful supervision of quality and more rigid regulation of labor.
Which industry overtook cotton as the leading sector in Britain after the 1840s?,Iron and steel
How did the expansion of railways in Britain and its colonies affect industrial demand?,It rapidly increased the demand for iron and steel.
"By the end of the 19th century, approximately what percentage of the total British workforce was employed in technologically advanced industrial sectors?",Less than 20 percent
Why were 19th-century merchants and industrialists often cautious about adopting new technology?,"The machines were expensive, prone to breaking down, and costly to repair."
"In 1781, James Watt patented an improved version of the steam engine originally produced by _____.",Newcomen
Who was the industrialist friend of James Watt who manufactured the new model of the steam engine?,Mathew Boulton
Why was there a lack of incentive for Victorian industrialists to introduce machines that replaced human labor?,There was an abundance of poor peasants and vagrants willing to work for low wages.
Which two industries in Britain were characterized by high seasonal demand for labor during the winter months?,Gas works and breweries
"Why did the Victorian upper classes, such as aristocrats, prefer handmade products over machine-made goods?","Handmade products symbolized refinement, class, and better individual finish."
How did the abundance of labor in the 19th-century market affect the job-seeking process for workers?,Actual employment often depended on existing networks of friendship and kin relations.
What was the purpose of 'Night Refuges' and 'Casual Wards' in 19th-century Britain?,They provided temporary overnight shelter for the homeless and destitute.
How did the Napoleonic Wars impact the welfare of British workers?,"Rising prices caused the real value of wages to fall, meaning workers could buy fewer things."
What was the function of the 'Spinning Jenny' devised by James Hargreaves in 1764?,"It allowed one worker to set multiple spindles in motion simultaneously, speeding up spinning."
Why did women in the 18th-century British woolen industry attack the Spinning Jenny?,They feared the machine would eliminate their manual spinning jobs and livelihood.
"Which three pre-colonial Indian ports connected the country to the Gulf, Red Sea, and Southeast Asian ports?","Surat, Masulipatam, and Hoogly"
What caused the dramatic decline of the gross value of trade through the port of Surat by the 1740s?,The rise of European companies and their monopoly rights to trade.
Which two cities grew as primary trading ports in India as Surat and Hoogly decayed?,Bombay and Calcutta
"Whom did the East India Company appoint to supervise weavers, collect supplies, and examine cloth quality?",Gomasthas
How did the East India Company's 'system of advances' prevent weavers from selling to other buyers?,Weavers who took loans for raw materials were legally bound to hand over their cloth to the Company.
What was a primary cause of the clashes between Indian weavers and the new gomasthas?,Gomasthas were outsiders who acted arrogantly and physically punished weavers for supply delays.
What is the meaning of the British-pronounced term 'sepoy'?,An Indian soldier in the service of the British (from the word 'sipahi').
What strategy did British cotton industrialists use to eliminate competition from Indian textiles in the UK?,They pressured the government to impose heavy import duties on foreign cotton goods.
How did the American Civil War indirectly 'starve' Indian weavers of raw cotton supplies?,"Britain turned to India for raw cotton, causing local prices to skyrocket beyond the weavers' reach."
In what year did the first cotton mill in Bombay begin production?,1856 (it was set up in 1854)
Where was the first Indian jute mill set up in 1855?,Bengal
Which Bengal businessman made his fortune in the China trade before setting up joint-stock companies in the 1830s?,Dwarkanath Tagore
Which two Parsi entrepreneurs in Bombay built industrial empires using wealth from the China trade and cotton exports?,Dinshaw Petit and Jamsetjee Nusserwanjee Tata
Who set up the first Indian jute mill in Calcutta in 1917?,Seth Hukumchand
"As colonial control tightened, what were Indian merchants primarily forced to export instead of manufactured goods?","Raw materials and food grains like raw cotton, opium, wheat, and indigo."
Name one of the three largest European Managing Agencies that controlled Indian industries until World War I.,"Bird Heiglers & Co. (or Andrew Yule, or Jardine Skinner & Co.)"
From which neighboring district did over 50 percent of Bombay's cotton mill workers come in 1911?,Ratnagiri
What was the role of a 'jobber' in Indian industrial mills?,A trusted worker employed to recruit new workers from their village and help them settle.
Why did the typical 19th-century jobber eventually become a figure of corruption?,They began demanding money and gifts in exchange for securing jobs and controlling workers' lives.
Which industries were the primary focus of European Managing Agencies in India?,"Tea and coffee plantations, mining, indigo, and jute."
Why did early Indian industrialist groups avoid competing with Manchester goods in the late 19th century?,"Colonial policies favored British imports, making competition in those specific sectors difficult."
